dataset,instance,variant,HV_common,Cmax_best,TEC_best,WB_best,NSol,Time,Transition_gen,PPO_update_count,BC_final_accuracy,Entropy_last20,seed_count
Brandimarte,Mk07.fjs,R1_survival_only,1.1264667414827296,212.81557897584287,5971.171147744795,6.999999999999972,53.0,79.82824909687042,70.0,2.0,0.2857142984867096,0.8805339660620688,10
Brandimarte,Mk07.fjs,R2_hv_only,1.10797536056013,213.9625559277723,5938.211397893008,7.499999999999957,43.0,76.16022884845734,70.0,2.0,0.2500000074505806,0.8728610876949616,10
Brandimarte,Mk07.fjs,R3_cmax_only,1.121408613269727,211.6766966446989,5953.139189324157,6.499999999999972,37.5,75.47556161880493,70.0,2.0,0.2714285850524902,0.8262034632436566,10
Brandimarte,Mk07.fjs,R4_survival_hv,1.1154074696797736,210.18645716661553,5956.351274558427,6.999999999999986,45.5,76.27834069728851,70.0,2.0,0.2785714417695999,0.8474932183384787,10
Brandimarte,Mk07.fjs,R5_composite,1.1186298980880758,212.75985103419356,5938.553586928508,5.999999999999986,42.0,83.57357275485992,70.0,2.0,0.2928571552038193,0.8469360575644322,10
Brandimarte,Mk07.fjs,R6_adaptive_weight,1.1375093481451994,212.21361479073605,5946.17876809826,4.999999999999972,41.5,76.24868977069855,70.0,2.0,0.2714285850524902,0.8684202144360618,10
Brandimarte,Mk08.fjs,R1_survival_only,1.0392509442305111,761.0830377533847,29273.744636800657,522.9999999999998,9.0,134.59330582618713,70.0,2.0,0.3025423735380173,0.8318845577812332,10
Brandimarte,Mk08.fjs,R2_hv_only,1.0464546550007374,756.0068504880594,29281.824287907053,522.9999999999998,9.5,126.34309554100037,50.5,3.5,0.31365740299224854,0.8135804025131458,10
Brandimarte,Mk08.fjs,R3_cmax_only,1.0011288040424664,758.6941288741886,29415.06074782837,522.9999999999998,9.0,124.120561003685,56.5,3.0,0.31339286267757416,0.830449934725749,10
Brandimarte,Mk08.fjs,R4_survival_hv,1.1112687219332928,746.2161501250712,29088.779356334315,522.9999999999998,9.5,127.39042174816132,57.0,3.0,0.3774193525314331,0.8230713133096572,10
