contrast,Budget,Fold,Replica,n_instance_seed_pairs,median_delta,mean_delta
online_minus_scratch_g50,50,1,2,20,-0.053431624574647396,-0.045209423816477884
online_minus_scratch_g50,50,1,3,20,-0.016564193115215065,-0.0073563750922334805
online_minus_scratch_g50,50,1,4,20,-0.02528703757950862,-0.0345997393616629
online_minus_scratch_g50,50,2,0,20,-0.056717297862009686,-0.04113472077404153
online_minus_scratch_g50,50,2,1,20,-0.04599972079642056,-0.031032051205789224
online_minus_scratch_g50,50,2,2,20,-0.052558184925182716,-0.04404329711351032
online_minus_scratch_g50,50,2,3,20,-0.04531460912091079,-0.03361037208945127
online_minus_scratch_g50,50,2,4,20,-0.03541974017967442,-0.044262432709060225
online_minus_scratch_g50,50,3,0,20,-0.04477793973381383,-0.04437514426430547
online_minus_scratch_g50,50,3,1,20,0.0029637637172788,-0.023028171385662134
online_minus_scratch_g50,50,3,2,20,-0.03711693668063243,-0.02622802485318914
online_minus_scratch_g50,50,3,3,20,-0.050498577333630834,-0.04068610915151759
online_minus_scratch_g50,50,3,4,20,-0.059520093747790936,-0.04418985844822024
online_minus_scratch_g50,50,4,0,20,-0.052023150846755906,-0.047644022507483466
online_minus_scratch_g50,50,4,1,20,-0.041634542240757466,-0.03557393107491767
online_minus_scratch_g50,50,4,2,20,-0.04415354229227858,-0.04934312060363545
online_minus_scratch_g50,50,4,3,20,0.006564517893321853,0.006405085895386964
online_minus_scratch_g50,50,4,4,20,-0.04174206480739029,-0.04902169099778484
online_minus_scratch_g50,50,5,0,20,-0.04066522259435079,-0.05151258270130321
online_minus_scratch_g50,50,5,1,20,-0.05326371795304835,-0.02706450605945405
online_minus_scratch_g50,50,5,2,20,-0.041905478970104104,-0.040788976117956274
online_minus_scratch_g50,50,5,3,20,-0.031933007321063855,-0.020159171798561647
online_minus_scratch_g50,50,5,4,20,-0.030247585534303567,-0.02287706934583822
online_minus_ucb_g200,200,1,0,20,-0.2286777576446556,-0.2441266608188241
online_minus_ucb_g200,200,1,1,20,-0.14320100073998132,-0.15563354707559526
online_minus_ucb_g200,200,1,2,20,-0.12625838592263905,-0.11439408848642722
online_minus_ucb_g200,200,1,3,20,-0.17943429432456615,-0.1633697438232035
online_minus_ucb_g200,200,1,4,20,-0.06790838578567271,-0.10008610641504072
online_minus_ucb_g200,200,2,0,20,-0.1921864602160508,-0.2127933091832408
online_minus_ucb_g200,200,2,1,20,-0.15456660082619555,-0.18011187351885846
online_minus_ucb_g200,200,2,2,20,-0.19819721432011206,-0.23767468017698112
online_minus_ucb_g200,200,2,3,20,-0.10466252955271371,-0.1058405347082327
online_minus_ucb_g200,200,2,4,20,-0.137803378950064,-0.14470117189440435
online_minus_ucb_g200,200,3,0,20,-0.17571733897468989,-0.16814896226495155
online_minus_ucb_g200,200,3,1,20,-0.11753656540488511,-0.09635398850334334
online_minus_ucb_g200,200,3,2,20,-0.20615866005219635,-0.21859874548269262
online_minus_ucb_g200,200,3,3,20,-0.20035570950175863,-0.1649614979422938
online_minus_ucb_g200,200,3,4,20,-0.1175592561633948,-0.12300483544980137
online_minus_ucb_g200,200,4,0,20,-0.26298112531272644,-0.2534335771719333
