Fold,dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,elapsed_seconds,cpu_seconds,learning_time,Initial_evaluations,Offspring_evaluations,Online_PPO_samples,Online_PPO_collected_transitions,Online_PPO_discarded_singletons,PPO_controlled_actions,Online_PPO_updates,Online_PPO_optimizer_steps,Transition_gen,Operator_entropy,Policy_parameter_L2_drift
1,Hurink_edata,la10.fjs,100,XPrePPO_Online_R16,0.9305478915515071,2.651734494038463,0.16698061695097627,1138.203563058398,34836.11727940545,89.99999999999977,57.0,69.93101441860199,69.60699678049968,0.03282094094902275,100.0,10000.0,30.0,30.0,0.0,30.0,2.0,8.0,70.0,0.8867310485058518,0.15769981774075065
1,Hurink_edata,la10.fjs,200,ScratchNoBC_R16,1.0801183112034989,2.93237076494342,0.07813814618416229,1063.0206653470175,34059.86587358851,89.99999999999977,77.0,134.12856030464172,133.39806033549985,0.10689794691279525,100.0,20000.0,110.0,110.0,0.0,110.0,7.5,30.0,90.0,0.993668926585613,0.6741969543160672
1,Hurink_edata,la10.fjs,200,UCBOnly,1.0754331792736307,2.922780343354482,0.08152254637563322,1064.1757073496751,34237.29546073714,89.99999999999977,85.0,140.47599875926971,139.78195902400012,0.0,100.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9985655304370386,0.0
1,Hurink_edata,la10.fjs,200,XPrePPO_Frozen,0.9459267198750956,2.6693156373360294,0.13227285844506156,1099.120744568763,34502.21986442105,89.99999999999977,63.5,138.01245188713074,137.35145194799998,0.0,100.0,20000.0,0.0,0.0,0.0,110.0,0.0,0.0,90.0,0.7135527726476727,0.0
1,Hurink_edata,la10.fjs,200,XPrePPO_Online_R16,0.9653467224485031,2.7102595353834458,0.13066444412802508,1108.2190652897752,34468.53274489504,89.99999999999977,81.5,145.3415629863739,144.577408869,0.1167658693157136,100.0,20000.0,110.0,110.0,0.0,110.0,7.5,30.0,90.0,0.7056263551883668,0.35988112691150614
1,Hurink_edata,la15.fjs,50,ScratchNoBC_R16,1.0650241732139134,2.894361991406488,0.09303695909501855,1627.751195534161,49980.681747434,33.49999999999943,16.5,39.67128014564514,39.478338707499915,0.013101027347147399,100.0,5000.0,15.0,15.0,0.0,15.0,1.0,4.0,35.0,0.9881526029305208,0.12877405072586906
1,Hurink_edata,la15.fjs,50,UCBOnly,1.0327093680462958,2.8244168283567133,0.10183101230657327,1630.1325951940362,50169.965545105064,33.99999999999943,24.5,39.22003901004791,39.03086079600007,0.0,100.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9982510515149293,0.0
1,Hurink_edata,la15.fjs,50,XPrePPO_Frozen,0.9932810850717847,2.7484669229110708,0.11993147220885289,1646.9672888316547,50332.61180839778,33.49999999999943,16.5,38.9757764339447,38.7890069175005,0.0,100.0,5000.0,0.0,0.0,0.0,15.0,0.0,0.0,35.0,0.8772480623330972,0.0
1,Hurink_edata,la15.fjs,50,XPrePPO_Online_R16,0.9932810850717847,2.7484669229110708,0.11993147220885289,1646.9672888316547,50332.61180839778,33.49999999999943,16.5,38.976292848587036,38.83324753800025,0.0142932785674929,100.0,5000.0,15.0,15.0,0.0,15.0,1.0,4.0,35.0,0.8772480623330972,0.12134427716999549
1,Hurink_edata,la15.fjs,100,ScratchNoBC_R16,1.0768762585354903,2.904203781013809,0.08567042103379886,1573.1979783490797,49336.04121615818,33.49999999999932,22.5,77.67869400978088,77.28157550249989,0.039711155463010045,100.0,10000.0,37.0,37.0,0.0,37.0,3.0,12.0,63.0,0.9914501292315686,0.28964400180277505
