Fold,dataset,instance,Budget,contrast,front_extreme,absolute_change,comparator_extreme,relative_change_percent
3,Hurink_edata,la28.fjs,50,online_minus_scratch,best_energy_index,555.0983154626156,110257.72185264766,0.5034552738215186
3,Hurink_edata,la28.fjs,100,online_minus_scratch,best_energy_index,755.864170830464,107030.2482440382,0.7062154701417009
3,Hurink_edata,la28.fjs,200,online_minus_scratch,best_energy_index,1624.3668101099756,103841.69573718282,1.5642722305124446
3,Hurink_edata,la35.fjs,50,online_minus_scratch,best_energy_index,872.2260583301249,171706.98698295408,0.5079735389082994
3,Hurink_edata,la35.fjs,100,online_minus_scratch,best_energy_index,1208.5685030607274,167868.5327665895,0.7199494051342934
3,Hurink_edata,la35.fjs,200,online_minus_scratch,best_energy_index,3934.554386180156,163476.50928546477,2.406801077034002
3,Hurink_edata,la39.fjs,50,online_minus_scratch,best_energy_index,880.4508648272022,152848.47340587748,0.5760285629345031
3,Hurink_edata,la39.fjs,100,online_minus_scratch,best_energy_index,2174.8526743453112,148616.95141295542,1.4633947565659204
3,Hurink_edata,la39.fjs,200,online_minus_scratch,best_energy_index,4280.007166563271,143538.48838799214,2.9817836418857815
4,Brandimarte,Mk01.fjs,50,online_minus_scratch,best_energy_index,-11.784327671077563,1841.489880156839,-0.6399344247318859
4,Brandimarte,Mk01.fjs,100,online_minus_scratch,best_energy_index,-4.768715074643978,1796.6748823357118,-0.26541892033602416
4,Brandimarte,Mk01.fjs,200,online_minus_scratch,best_energy_index,28.096943477828745,1738.180365419689,1.6164573042478623
4,Brandimarte,Mk08.fjs,50,online_minus_scratch,best_energy_index,57.750194166634174,30188.239416751152,0.1913003052923622
4,Brandimarte,Mk08.fjs,100,online_minus_scratch,best_energy_index,271.8235261212867,29265.09222301513,0.9288319478026958
4,Brandimarte,Mk08.fjs,200,online_minus_scratch,best_energy_index,922.3764432198805,28260.766809418565,3.263805435429575
4,Hurink_edata,la01.fjs,50,online_minus_scratch,best_energy_index,260.02071925050404,24762.1348349173,1.0500739172288434
4,Hurink_edata,la01.fjs,100,online_minus_scratch,best_energy_index,236.3424709153187,24375.958444292322,0.969572012749549
4,Hurink_edata,la01.fjs,200,online_minus_scratch,best_energy_index,605.6792172965725,23841.79891203189,2.5404090502202554
4,Hurink_edata,la06.fjs,50,online_minus_scratch,best_energy_index,-18.602472409555048,33248.68668628405,-0.05594949534421477
4,Hurink_edata,la06.fjs,100,online_minus_scratch,best_energy_index,438.39346904020204,32478.361520350598,1.34980167877468
4,Hurink_edata,la06.fjs,200,online_minus_scratch,best_energy_index,620.11803328526,32003.163137506068,1.9376773183976725
4,Hurink_edata,la11.fjs,50,online_minus_scratch,best_energy_index,242.12684597746556,53394.8229915296,0.45346502228479313
4,Hurink_edata,la11.fjs,100,online_minus_scratch,best_energy_index,532.7496938727418,52836.67280009082,1.008295310131311
4,Hurink_edata,la11.fjs,200,online_minus_scratch,best_energy_index,916.1194859569005,52044.66258851961,1.760256365191586
4,Hurink_edata,la18.fjs,50,online_minus_scratch,best_energy_index,185.77667150661,64407.543790821925,0.2884393047341811
4,Hurink_edata,la18.fjs,100,online_minus_scratch,best_energy_index,672.9312362502533,62164.19620460443,1.0825061326867282
4,Hurink_edata,la18.fjs,200,online_minus_scratch,best_energy_index,1747.7202811673342,60023.10003574242,2.9117461112914955
4,Hurink_edata,la22.fjs,50,online_minus_scratch,best_energy_index,508.61512632436643,85665.43186573267,0.5937227131727324
4,Hurink_edata,la22.fjs,100,online_minus_scratch,best_energy_index,271.8098298350087,84073.3801683029,0.3233007038504747
4,Hurink_edata,la22.fjs,200,online_minus_scratch,best_energy_index,1800.7964412911097,81969.20096884179,2.196918379106355
4,Hurink_edata,la29.fjs,50,online_minus_scratch,best_energy_index,184.04991150950082,108247.27879927467,0.17002728710694764
4,Hurink_edata,la29.fjs,100,online_minus_scratch,best_energy_index,1236.0382237017038,105328.87818126293,1.1735036440572135
4,Hurink_edata,la29.fjs,200,online_minus_scratch,best_energy_index,3067.681566483254,102307.64727860966,2.998487061411137
4,Hurink_edata,la32.fjs,50,online_minus_scratch,best_energy_index,-236.63911674916744,181336.71272511303,-0.13049708092364445
4,Hurink_edata,la32.fjs,100,online_minus_scratch,best_energy_index,1323.1606406231876,176334.0775365171,0.7503714875243973
4,Hurink_edata,la32.fjs,200,online_minus_scratch,best_energy_index,2653.651431932638,172556.08161647274,1.5378486849456323
4,Hurink_edata,la40.fjs,50,online_minus_scratch,best_energy_index,1218.8319079434732,157749.80167084222,0.7726360952812258
4,Hurink_edata,la40.fjs,100,online_minus_scratch,best_energy_index,1541.9427505568601,151957.8456870311,1.0147174327099964
4,Hurink_edata,la40.fjs,200,online_minus_scratch,best_energy_index,4031.1302884977194,147344.37815170927,2.7358561887900277
5,Brandimarte,Mk05.fjs,50,online_minus_scratch,best_energy_index,-15.550510757644588,6529.617542624899,-0.23815347003299828
5,Brandimarte,Mk05.fjs,100,online_minus_scratch,best_energy_index,8.035040690989263,6437.8509286573935,0.1248093623172005
5,Brandimarte,Mk05.fjs,200,online_minus_scratch,best_energy_index,31.659071983245667,6343.893020497671,0.4990480117012132
5,Brandimarte,Mk09.fjs,50,online_minus_scratch,best_energy_index,28.71463163239241,28233.79723631646,0.10170304543895167
5,Brandimarte,Mk09.fjs,100,online_minus_scratch,best_energy_index,40.58221993294137,27476.95678763659,0.14769546804834502
5,Brandimarte,Mk09.fjs,200,online_minus_scratch,best_energy_index,176.39316053150833,26907.36359004102,0.6555572044107478
5,Hurink_edata,la02.fjs,50,online_minus_scratch,best_energy_index,64.01780610932474,22173.49068874758,0.28871325227025246
5,Hurink_edata,la02.fjs,100,online_minus_scratch,best_energy_index,157.8416326184306,21800.761865117296,0.7240188833537416
5,Hurink_edata,la02.fjs,200,online_minus_scratch,best_energy_index,372.4451266560718,21402.36565256094,1.740205417953441
5,Hurink_edata,la08.fjs,50,online_minus_scratch,best_energy_index,275.4111103886971,36238.30880888584,0.7599998991155038
5,Hurink_edata,la08.fjs,100,online_minus_scratch,best_energy_index,210.61374049466394,35714.65275356508,0.5897124128517257
5,Hurink_edata,la08.fjs,200,online_minus_scratch,best_energy_index,467.40213093633065,35178.83998018966,1.3286456608561847
