dataset,instance,hv_sa_aos,hv_ucb_only,delta_hv_sa_aos_minus_ucb,front_size,transition_gen,ppo_updates,bc_training_accuracy,jobs,machines,operations,agv_energy_share_median,cmax_energy_correlation,transport_time_ratio_realized,majority_action_share,normalized_label_entropy,bc_accuracy_minus_majority,family
Hurink_edata,la03.fjs,1.0739145139047785,1.0787790944766744,-0.004864580571895871,29.5,62.0,2.5,0.32500000298023224,10,5,50,0.1066613323523299,0.86634277987584,0.2999999999999999,0.11596638655462185,0.9981683883953743,0.2053571458373751,la
Hurink_edata,la04.fjs,1.070355689955793,1.0822866153645223,-0.011930925408729198,27.0,50.0,3.5,0.349021777510643,10,5,50,0.0724844824205685,0.8534335675940777,0.3,0.11583184257602863,0.9969822313549115,0.22739017408896273,la
Hurink_edata,la05.fjs,1.134550391590256,1.1500852443147156,-0.015534852724459647,33.0,52.5,3.5,0.3826219439506531,10,5,50,0.1198917712031145,0.7731598457477784,0.3,0.11646489104116223,0.9981683883953743,0.26906697219003317,la
Hurink_edata,la06.fjs,1.2447496710146722,1.2541760915892035,-0.009426420574531358,19.5,53.5,3.0,0.3142857253551483,15,5,75,0.1351284013259285,0.9321964815144302,0.3,0.1225140712945591,0.9964394669369514,0.19558823907575684,la
Hurink_edata,la07.fjs,1.1873785235194596,1.184991962424415,0.002386561095044648,26.0,55.0,3.5,0.3590102791786194,15,5,75,0.1245915873030538,0.9153870068769048,0.3,0.11764705882352941,0.9960640263299246,0.24463119421129914,la
Hurink_edata,la08.fjs,1.199876683877545,1.196452044178024,0.0034246396995210038,29.0,62.5,3.0,0.3000000119209289,15,5,75,0.0939863270522563,0.8382603759214817,0.2999999999999999,0.11630434782608695,0.9970605420993617,0.18571429763521463,la
Hurink_edata,la09.fjs,1.1215003707543267,1.1484286640224433,-0.02692829326811652,24.0,70.0,2.0,0.26806724071502686,15,5,75,0.0921139637625054,0.8579939583853234,0.3,0.11428571428571428,0.9982212903417764,0.15210085416040497,la
Hurink_edata,la10.fjs,1.111597967483599,1.1369882974922672,-0.025390330008668194,49.0,70.0,2.0,0.29039813578128815,15,5,75,0.1372974547833653,0.8860442291947681,0.3,0.11428571428571428,0.9991106451708882,0.17587822945810314,la
Hurink_edata,la11.fjs,1.1479400849682457,1.1403998985575448,0.0075401864107009775,17.0,59.5,3.0,0.3539682626724243,20,5,100,0.0967094448206963,0.895697012797898,0.3,0.12158167036215817,0.9961621762209265,0.23333334203750367,la
Hurink_edata,la12.fjs,1.1684740564585825,1.1731057917371293,-0.004631735278546767,26.0,70.0,2.0,0.2992537319660187,20,5,100,0.1392755488024377,0.9158354156459008,0.3,0.11428571428571428,0.9991106451708882,0.18240938228584808,la
Hurink_edata,la13.fjs,1.1095998094765336,1.1145720857144834,-0.004972276237949824,36.0,70.0,2.0,0.2857142984867096,20,5,100,0.1090498700791817,0.9176933186257994,0.3,0.11428571428571428,0.9982212903417765,0.17142858420099533,la
Hurink_edata,la14.fjs,1.1099471393579563,1.1192105483240897,-0.009263408966133424,27.0,68.5,2.0,0.30671642720699305,20,5,100,0.1053541701318939,0.9573112122957058,0.3,0.11428571428571428,0.9982212903417764,0.18987207752682247,la
Hurink_edata,la15.fjs,0.9985411086857922,1.0164995877720109,-0.017958479086218726,23.0,60.0,3.0,0.32380953431129456,20,5,100,0.1322560186301638,0.9154039374143425,0.3,0.11483516483516484,0.9979548175858952,0.20000001106943405,la
Hurink_edata,la16.fjs,1.1205431377254664,1.121117826275889,-0.0005746885504225308,21.5,67.0,2.5,0.31507937610149384,10,10,100,0.0936575670355118,0.7534863637327448,0.3,0.11428571428571428,0.9982212903417764,0.20000001106943402,la
Hurink_edata,la17.fjs,1.1620020055320244,1.1492263735783113,0.012775631953713118,16.5,57.0,3.0,0.3166273534297943,10,10,100,0.0808357984111072,0.8784215386517314,0.2999999999999999,0.1259920634920635,0.9966480712390138,0.19590211758073772,la
Hurink_edata,la18.fjs,1.1147616782649883,1.1077893366444136,0.006972341620574696,19.5,63.0,3.0,0.3062500059604645,10,10,100,0.0876589984089229,0.9029230060100554,0.3,0.1181184668989547,0.9977766129272206,0.18660714881760732,la
Hurink_edata,la19.fjs,1.0879786844663295,1.0826760526804313,0.005302631785898182,27.0,70.0,2.0,0.30384616553783417,10,10,100,0.1119088248095156,0.8620665538295516,0.3,0.11428571428571428,0.9982212903417764,0.18571429763521463,la
Hurink_edata,la20.fjs,1.0682308400078133,1.1033070124645485,-0.03507617245673522,29.5,70.0,2.0,0.2928571552038193,10,10,100,0.0980251427772584,0.8832433538557929,0.3,0.11428571428571428,0.9982212903417764,0.17857144091810498,la
Hurink_edata,la21.fjs,1.0170732328393328,1.0212054625512312,-0.004132229711898416,13.5,70.0,2.0,0.2906250059604645,15,10,150,0.0767410843869511,0.8864750903729322,0.3,0.11428571428571428,0.9970629874804167,0.17142858420099527,la
Hurink_edata,la22.fjs,1.0020854926093445,0.9706295046281845,0.031455987981160005,13.0,58.5,3.0,0.34687499701976776,15,10,150,0.0828236898510434,0.9688943355963696,0.3,0.125,0.9951137846818259,0.2177083303531011,la
Hurink_edata,la23.fjs,1.1600143533920175,1.1777180107730547,-0.017703657381037186,15.0,67.5,2.5,0.2928571552038193,15,10,150,0.0919661913356097,0.9520754739925728,0.3,0.11511387163561076,0.9974676905652271,0.16629072735482883,la
Hurink_edata,la24.fjs,1.0715493255439492,1.1155950036885804,-0.04404567814463123,13.5,69.5,2.0,0.31567029654979706,15,10,150,0.0956603550588328,0.9458804309032016,0.3,0.11511387163561076,0.9973319355126649,0.19519928205704343,la
Hurink_edata,la25.fjs,0.9168969167422782,0.9473533469594677,-0.030456430217189467,19.0,70.0,2.0,0.293939396739006,15,10,150,0.0948473391273879,0.8846689615505418,0.3,0.11428571428571428,0.9991106451708882,0.18376623656584581,la
Hurink_edata,la26.fjs,1.1686226883312298,1.1666166426129918,0.0020060457182380365,20.0,70.0,2.0,0.2857142984867096,20,10,200,0.069903818690069,0.9271742168368716,0.3,0.11428571428571428,0.9988904559161164,0.17142858420099533,la
Hurink_edata,la27.fjs,1.102294614865233,1.1279371501845834,-0.025642535319350346,14.0,70.0,2.0,0.3000000119209289,20,10,200,0.0910129984095055,0.9347341917693536,0.3,0.11428571428571428,0.9977766129272206,0.18571429763521463,la
Hurink_edata,la28.fjs,1.0678431204952052,1.098234855900764,-0.03039173540555873,21.5,70.0,2.0,0.2857142984867096,20,10,200,0.0929968237316876,0.9336823463722118,0.3,0.11428571428571428,0.9982212903417764,0.17142858420099533,la
Hurink_edata,la29.fjs,0.9170613016387399,0.9826199076550416,-0.0655586060163017,16.0,65.5,2.5,0.32182915508747095,20,10,200,0.0920865980407346,0.9489641105965648,0.3,0.11428571428571428,0.9971063223481275,0.1912178028453429,la
Hurink_edata,la30.fjs,0.9774686773847467,1.0235973975356876,-0.04612872015094083,16.0,70.0,2.0,0.2984375059604645,20,10,200,0.1017732546265327,0.9447795761915558,0.3,0.11428571428571428,0.9982212903417764,0.17879464881760732,la
Hurink_edata,la31.fjs,0.9870011296995422,1.0346187487563596,-0.047617619056817384,20.0,70.0,2.0,0.2785714417695999,30,10,300,0.0964239955815146,0.9622127762961216,0.3,0.11428571428571428,0.9982212903417764,0.16428572748388562,la
Hurink_edata,la32.fjs,1.113642006045965,1.1314896414380993,-0.017847635392134187,13.5,70.0,2.0,0.2967033088207245,30,10,300,0.1065830815924761,0.9775063024203716,0.3,0.11428571428571428,0.9982212903417764,0.1857142976352147,la
Hurink_edata,la33.fjs,1.0175416501033179,1.0290353573048625,-0.011493707201544634,14.0,70.0,2.0,0.2714285850524902,30,10,300,0.1096941650904346,0.9514317898067772,0.3,0.11428571428571428,0.9984457785015605,0.1571428707667759,la
Hurink_edata,la34.fjs,1.0047793586182907,1.0395619650718668,-0.034782606453576115,13.0,70.0,2.0,0.28053830564022064,30,10,300,0.0842306771129949,0.9415124230796236,0.2999999999999999,0.11428571428571428,0.9982212903417764,0.16542443400460988,la
Hurink_edata,la35.fjs,1.0256252453184416,0.9678638739629478,0.05776137135549375,14.0,70.0,2.0,0.2611408233642578,30,10,300,0.0999690846087706,0.9273305558501996,0.3,0.11428571428571428,0.9982212903417764,0.14495799744329535,la
Hurink_edata,la36.fjs,1.061505140642803,1.0639865453670914,-0.002481404724288261,10.5,67.0,2.5,0.29380054771900177,15,15,225,0.0678236374175154,0.9305504395054864,0.3,0.11428571428571428,0.9973319355126649,0.1730158857882969,la
Hurink_edata,la37.fjs,1.025785207792502,1.076634477809555,-0.05084927001705286,13.0,62.0,3.0,0.3017857223749161,15,15,225,0.0630996575593315,0.9596989360288736,0.2999999999999999,0.1225,0.9970629874804167,0.18571429763521463,la
Hurink_edata,la38.fjs,1.04986792797424,1.0781256377032056,-0.028257709728965574,13.0,69.0,2.0,0.2785714417695999,15,15,225,0.076321615344157,0.9629501623625554,0.3,0.12857142857142856,0.997141045125497,0.15714287034102847,la
Hurink_edata,la39.fjs,1.0847230606622724,1.078661837034865,0.006061223627407353,13.0,58.5,3.0,0.31618936359882355,15,15,225,0.0657337151758031,0.9509494821283516,0.3,0.11596638655462185,0.9955580942983289,0.19040460237686324,la
Hurink_edata,la40.fjs,1.1872953841056684,1.2054084513765677,-0.01811306727089934,14.5,69.0,2.0,0.2857142984867096,15,15,225,0.0839529548987478,0.8981042459359067,0.3,0.11596638655462185,0.9969431564185032,0.1665966441651352,la
