experiment,dataset,instance,seed,budget,bc_samples,observed_actions,majority_action_share,normalized_label_entropy,bc_final_training_accuracy,bc_accuracy_minus_majority
E1,Brandimarte,Mk02.fjs,48,100,70,10,0.1,0.9999999999999998,0.2714285850524902,0.17142858505249017
E1,Brandimarte,Mk02.fjs,49,100,66,10,0.10606060606060606,0.997688344830014,0.3484848439693451,0.24242423790873902
E1,Brandimarte,Mk02.fjs,50,100,70,10,0.11428571428571428,0.9991106451708882,0.3000000119209289,0.18571429763521463
E1,Brandimarte,Mk02.fjs,51,100,53,10,0.1320754716981132,0.9970420213773472,0.3584905564785003,0.2264150847803871
E1,Brandimarte,Mk03.fjs,42,100,70,10,0.11428571428571428,0.9991106451708882,0.3000000119209289,0.18571429763521463
E1,Brandimarte,Mk03.fjs,43,100,70,10,0.1,0.9999999999999998,0.2142857164144516,0.1142857164144516
E1,Brandimarte,Mk03.fjs,44,100,70,10,0.1,0.9999999999999998,0.2571428716182709,0.15714287161827087
E1,Brandimarte,Mk03.fjs,45,100,70,10,0.1,0.9999999999999998,0.3000000119209289,0.2000000119209289
E1,Brandimarte,Mk03.fjs,46,100,70,10,0.1,0.9999999999999998,0.3000000119209289,0.2000000119209289
E1,Brandimarte,Mk03.fjs,47,100,70,10,0.1,0.9999999999999998,0.2571428716182709,0.15714287161827087
E1,Brandimarte,Mk03.fjs,48,100,70,10,0.1,0.9999999999999998,0.2428571432828903,0.1428571432828903
E1,Brandimarte,Mk03.fjs,49,100,70,10,0.11428571428571428,0.9991106451708882,0.3000000119209289,0.18571429763521463
E1,Brandimarte,Mk03.fjs,50,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Brandimarte,Mk03.fjs,51,100,70,10,0.11428571428571428,0.9991106451708882,0.3142857253551483,0.20000001106943405
E1,Brandimarte,Mk04.fjs,42,100,70,10,0.1,0.9999999999999998,0.3000000119209289,0.2000000119209289
E1,Brandimarte,Mk04.fjs,43,100,70,10,0.11428571428571428,0.9991106451708882,0.2142857164144516,0.10000000212873732
E1,Brandimarte,Mk04.fjs,45,100,55,10,0.12727272727272726,0.995558503780387,0.4000000059604645,0.2727272786877372
E1,Brandimarte,Mk04.fjs,44,100,70,10,0.1,0.9999999999999998,0.2857142984867096,0.1857142984867096
E1,Brandimarte,Mk04.fjs,46,100,70,10,0.1,0.9999999999999998,0.2857142984867096,0.1857142984867096
E1,Brandimarte,Mk04.fjs,47,100,70,10,0.1,0.9999999999999998,0.3285714387893677,0.22857143878936767
E1,Brandimarte,Mk04.fjs,48,100,65,10,0.1076923076923077,0.9964762565449995,0.2923077046871185,0.18461539699481078
E1,Brandimarte,Mk04.fjs,49,100,70,10,0.1,0.9999999999999998,0.3000000119209289,0.2000000119209289
E1,Brandimarte,Mk04.fjs,50,100,70,10,0.1,0.9999999999999998,0.3000000119209289,0.2000000119209289
E1,Brandimarte,Mk04.fjs,51,100,70,10,0.1,0.9999999999999998,0.3142857253551483,0.2142857253551483
E1,Brandimarte,Mk05.fjs,42,100,32,10,0.125,0.9967940394481685,0.5,0.375
E1,Brandimarte,Mk05.fjs,43,100,70,10,0.1,0.9999999999999998,0.2571428716182709,0.15714287161827087
E1,Brandimarte,Mk05.fjs,44,100,70,10,0.1,0.9999999999999998,0.3571428656578064,0.2571428656578064
E1,Brandimarte,Mk05.fjs,45,100,70,10,0.1,0.9999999999999998,0.3000000119209289,0.2000000119209289
E1,Brandimarte,Mk05.fjs,46,100,55,10,0.12727272727272726,0.995558503780387,0.3636363744735718,0.23636364720084452
