dataset,instance,variant,HV_common,Cmax_best,TEC_best,WB_best,NSol,Time,Transition_gen,PPO_update_count,BC_final_accuracy,Entropy_last20,seed_count
Brandimarte,Mk03.fjs,AdaptiveNoBC,0.9016051220539897,363.90172221377554,11891.868101981738,22.499999999999986,60.5,87.72172951698303,70.0,2.0,0.0,0.9150778388873666,10
Brandimarte,Mk03.fjs,AdaptivePursuit,0.9366091280170419,363.20784428754354,11944.73159389975,25.999999999999957,83.5,86.18791210651398,-1.0,0.0,0.0,0.5869667580042726,10
Brandimarte,Mk03.fjs,AdaptiveSAOS,0.8904342169486468,363.8779565101735,11922.158825153558,25.49999999999993,63.5,87.2744573354721,70.0,2.0,0.28571429848670954,0.8561120610332473,10
Brandimarte,Mk03.fjs,FixedUCBPPO,0.8967478655342628,362.881757701233,11984.828172518817,24.99999999999997,65.0,87.12537455558777,48.0,4.0,0.3541666567325592,0.8476876201152861,10
Brandimarte,Mk03.fjs,PPOOnly,0.8860100890547766,370.9566031519772,12062.451494614208,20.99999999999993,73.5,86.63077533245087,-1.0,7.0,0.0,0.9020181229336985,10
Brandimarte,Mk03.fjs,ProbabilityMatching,0.8832193117101206,366.2540839387119,12011.315844601759,24.499999999999986,67.5,85.91965103149414,-1.0,0.0,0.0,0.8627391198984852,10
Brandimarte,Mk03.fjs,Random,0.8815157380949556,364.3744002996532,11987.04407906552,22.999999999999957,63.5,86.7658998966217,-1.0,0.0,0.0,0.9163180601660434,10
Brandimarte,Mk03.fjs,RandomUCBPPO,0.8911931341687549,366.5742740094429,11932.738128805313,21.99999999999993,63.0,88.36695909500122,55.5,3.5,0.33469387888908386,0.8052764671460735,10
Brandimarte,Mk03.fjs,UCBOnly,0.8980248588184652,368.3887751618723,11989.345342563116,24.4999999999999,67.5,87.26124608516693,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk03.fjs,UniformFixed,0.8979131409973189,366.3378374524501,11889.213555363702,22.9999999999999,69.5,86.86473453044891,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk04.fjs,AdaptiveNoBC,0.9359813045700909,111.8204593203472,3672.721435912895,35.99999999999998,64.5,63.748658180236816,70.0,2.0,0.0,0.9170696227168972,10
Brandimarte,Mk04.fjs,AdaptivePursuit,0.8676414982576948,115.55026312074754,3702.018569765494,35.999999999999986,83.5,63.73207974433899,-1.0,0.0,0.0,0.5144216851278063,10
Brandimarte,Mk04.fjs,AdaptiveSAOS,0.9220550213254992,112.58937534838245,3698.6467690967884,35.99999999999998,67.5,63.73241627216339,70.0,2.0,0.3000000119209289,0.8455014345089481,10
Brandimarte,Mk04.fjs,FixedUCBPPO,0.9253365370198736,113.09192970077156,3688.042034096287,35.99999999999998,60.0,64.40070581436157,48.0,4.0,0.3541666567325592,0.8563064628100546,10
Brandimarte,Mk04.fjs,PPOOnly,0.8858040292316534,114.59554768907714,3706.3403078280953,35.999999999999986,67.0,63.70702350139618,-1.0,7.0,0.0,0.9020181229336985,10
Brandimarte,Mk04.fjs,ProbabilityMatching,0.865202018214651,115.46642189798845,3741.9791418492805,35.99999999999998,57.5,63.315987944602966,-1.0,0.0,0.0,0.8741013089736384,10
Brandimarte,Mk04.fjs,Random,0.9007837868089463,113.54838208635832,3728.5287094313826,35.999999999999986,54.5,63.51449978351594,-1.0,0.0,0.0,0.9163180601660434,10
Brandimarte,Mk04.fjs,RandomUCBPPO,0.9156931110549935,114.44395026819628,3711.207019683169,35.99999999999998,64.0,63.57756960391998,55.5,3.5,0.34929434955120087,0.814646872391696,10
Brandimarte,Mk04.fjs,UCBOnly,0.9292898698930099,114.18334443805017,3703.5297346585676,35.99999999999998,61.0,63.683313965797424,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk04.fjs,UniformFixed,0.8936520224557063,114.05139464236831,3662.775756319925,35.99999999999997,66.5,63.998985290527344,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk05.fjs,AdaptiveNoBC,0.9583752912888103,221.37898430708958,6420.263642230628,2.9999999999999574,36.5,69.09764051437378,62.0,3.0,0.0,0.875604434075346,10
Brandimarte,Mk05.fjs,AdaptivePursuit,0.8458049409384575,225.01310656868463,6503.568525734778,4.0,40.5,68.50140798091888,-1.0,0.0,0.0,0.4195187121462667,10
Brandimarte,Mk05.fjs,AdaptiveSAOS,0.9384979225036687,223.94463448503927,6441.693716657587,2.999999999999943,36.0,69.3250640630722,62.0,3.0,0.33879782259464264,0.7533744033803496,10
Brandimarte,Mk05.fjs,FixedUCBPPO,1.0248618970696755,217.8552002675973,6427.848535330224,2.9999999999999574,37.5,69.70166993141174,48.0,4.0,0.375,0.8548718397545705,10
Brandimarte,Mk05.fjs,PPOOnly,0.976032157359372,222.2627977182085,6434.820128328471,2.9999999999999716,45.5,69.03550815582275,-1.0,7.0,0.0,0.8926477176880758,10
Brandimarte,Mk05.fjs,ProbabilityMatching,0.9420684042347703,223.68025699969132,6466.761919984281,3.5,46.0,68.49303758144379,-1.0,0.0,0.0,0.8711635608164463,10
Brandimarte,Mk05.fjs,Random,1.0286286147017671,221.80530634951546,6440.038492086452,2.5,37.0,69.3243921995163,-1.0,0.0,0.0,0.9163180601660434,10
Brandimarte,Mk05.fjs,RandomUCBPPO,0.9825050397324395,221.5277507621484,6424.885176437601,2.4999999999999574,36.0,69.31207501888275,55.5,3.5,0.3602430522441864,0.833387682882941,10
Brandimarte,Mk05.fjs,UCBOnly,0.9907271256106547,218.89952441531955,6415.076539818961,2.999999999999943,39.0,68.62087094783783,-1.0,0.0,0.0,0.9999999999999998,10
