Protocol,dataset,instance,variant,reward_scheme,seed,HV_local,Spread,Cmax_best,TEC_best,WB_best,NSol,Time,Execution_device,Extension_seed_scheme,Torch_CUDA_available,Entropy_all,Entropy_last20,Transition_gen,Transition_reason,Reward_HV_corr,PPO_update_count,PPO_rollout_sizes,PPO_policy_loss_mean,PPO_value_loss_mean,PPO_entropy_mean,BC_samples,BC_loss,BC_accuracy,BC_entropy,BC_final_loss,BC_final_accuracy,BC_final_entropy,Operator_counts,front_pickle,Front_points_raw,Front_points_unique,HV_common
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptivePursuit,composite,45,794496.5469420042,0.7841852268817051,62.6097549840281,1767.8673556576905,13.0,91,47.328476905822754,cpu,sha256(dataset/filename)+42,False,0.7811198011739073,0.4486757473850034,-1,none,0.5622445946907252,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[12,7,33,28,2,6,2,1,2,7]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_AdaptivePursuit_composite_seed45.pkl,91,91,1.1603267156336632
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptivePursuit,composite,43,1424688.188649746,0.6416801747234959,67.82957971744108,1840.159600226112,12.999999999999982,100,52.02136731147766,cpu,sha256(dataset/filename)+42,False,0.6970272055189085,0.4729032506370175,-1,none,0.681611483132995,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[17,0,20,0,1,5,0,2,25,30]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_AdaptivePursuit_composite_seed43.pkl,100,100,0.9801223505034633
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptivePursuit,composite,44,1035545.8675518896,0.6338774497493893,62.07927282746078,1786.471911328716,12.999999999999991,100,51.288224935531616,cpu,sha256(dataset/filename)+42,False,0.7490902567798242,0.575836552411295,-1,none,0.5472368783089303,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[2,6,32,3,2,2,6,4,7,36]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_AdaptivePursuit_composite_seed44.pkl,100,100,1.1115482899471072
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptivePursuit,composite,46,1095810.4417410626,0.6488174791932731,64.87171341495258,1809.9172459162976,14.999999999999982,100,52.24428725242615,cpu,sha256(dataset/filename)+42,False,0.6716872241779287,0.3783283724236221,-1,none,0.5156248208641507,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[6,8,18,2,0,4,6,1,3,52]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_AdaptivePursuit_composite_seed46.pkl,100,100,1.0108284466571584
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptivePursuit,composite,47,1465377.8764243042,0.6836655693649079,65.63529370303986,1878.3357945045925,13.999999999999991,97,52.97457408905029,cpu,sha256(dataset/filename)+42,False,0.6406882119984157,0.6680580196941611,-1,none,0.5079007103989203,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[5,6,9,10,1,2,1,5,2,59]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_AdaptivePursuit_composite_seed47.pkl,97,97,0.91934817018513
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptivePursuit,composite,48,1634222.6744140498,0.5926631933208749,63.15220709293668,1819.1963644131383,12.999999999999986,76,45.65237593650818,cpu,sha256(dataset/filename)+42,False,0.6744986442890263,0.6139066872958157,-1,none,0.5329804603333561,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[34,3,26,27,2,4,1,2,1,0]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_AdaptivePursuit_composite_seed48.pkl,76,76,1.0700181659963257
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptivePursuit,composite,49,592870.3349056803,0.6492085077945587,58.05841972843447,1787.193744879086,12.999999999999991,75,46.8800060749054,cpu,sha256(dataset/filename)+42,False,0.7391628770016334,0.5030062502034157,-1,none,0.4999142153467028,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[36,0,19,6,6,8,1,3,0,21]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_AdaptivePursuit_composite_seed49.pkl,75,75,1.164263226536248
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,UCBOnly,composite,42,892841.9444072994,0.5621841179714965,63.21198860091132,1756.4869149075855,12.999999999999996,67,47.8909478187561,cpu,sha256(dataset/filename)+42,False,0.999564978783056,0.9886378109248468,-1,none,0.7181499187496113,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[10,10,10,10,9,10,10,10,10,11]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UCBOnly_composite_seed42.pkl,67,67,1.121104645125766
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptivePursuit,composite,51,917870.6143042988,0.6787223743109706,62.59358850319895,1775.8830134194343,12.999999999999996,82,48.136378049850464,cpu,sha256(dataset/filename)+42,False,0.7842789642575565,0.7364516253185086,-1,none,0.3255746793797783,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[8,6,40,2,5,6,17,3,0,13]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_AdaptivePursuit_composite_seed51.pkl,82,82,1.1181155904650961
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptivePursuit,composite,50,956198.2673572352,0.7743366710589207,68.40017529044886,1805.113369810436,15.99999999999999,92,49.42459344863892,cpu,sha256(dataset/filename)+42,False,0.6964045403477674,0.4072105587434522,-1,none,0.5963075397561713,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[11,3,3,6,1,9,12,2,1,52]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_AdaptivePursuit_composite_seed50.pkl,92,92,0.8893824420216851
