Protocol,dataset,instance,variant,reward_scheme,seed,HV_local,Spread,Cmax_best,TEC_best,WB_best,NSol,Time,Execution_device,Extension_seed_scheme,Torch_CUDA_available,Entropy_all,Entropy_last20,Transition_gen,Transition_reason,Reward_HV_corr,PPO_update_count,PPO_rollout_sizes,PPO_policy_loss_mean,PPO_value_loss_mean,PPO_entropy_mean,BC_samples,BC_loss,BC_accuracy,BC_entropy,BC_final_loss,BC_final_accuracy,BC_final_entropy,Operator_counts,front_pickle
saos_bc_onpolicy_ppo_v5_20260720,Hurink_edata,la16.fjs,R5_composite,composite,47,2327908079.347096,1.177972707956316,1519.4964543653364,53286.06564509647,161.99999999999937,11,67.09059405326843,cpu,sha256(dataset/filename)+42,False,0.9914008481752739,0.8439983094072402,70,coverage_latest_guard,0.4706639453109611,2,"[16,14]",-0.007214749566628598,0.37420772947371006,2.248870611190796,70,2.193024597565333,0.21569444611668587,2.260507048368454,2.0242679119110107,0.3285714387893677,2.179914712905884,"[9,8,11,8,14,7,11,10,12,10]",results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed47.pkl
saos_bc_onpolicy_ppo_v5_20260720,Hurink_edata,la16.fjs,R5_composite,composite,48,3189970926.7562237,1.272536711139272,1518.1069001184544,54163.599400873325,161.99999999999937,38,67.26300477981567,cpu,sha256(dataset/filename)+42,False,0.9719422110202983,0.70421568599501,47,coverage_stagnation,0.5109963736802339,4,"[16,16,16,5]",-0.007817535259528108,0.5231660867575556,2.1301055401563644,47,2.132868021130562,0.24648958686739206,2.2347612565755846,1.8631882667541504,0.38297873735427856,2.0639402866363525,"[8,9,16,9,4,8,10,10,9,17]",results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed48.pkl
saos_bc_onpolicy_ppo_v5_20260720,Hurink_edata,la16.fjs,R5_composite,composite,49,1869398722.325104,0.9935165635332743,1550.651989931393,53079.617061944606,161.99999999999943,13,67.21295404434204,cpu,sha256(dataset/filename)+42,False,0.9766789552299531,0.8568636235841013,64,coverage_stagnation,0.44814302109286125,3,"[16,16,4]",-0.01790208648890257,0.5806748792529106,1.9607567687829335,64,2.1441840207576752,0.24125,2.236866697072983,1.8953125476837158,0.359375,2.071235179901123,"[12,7,13,13,14,13,9,8,6,5]",results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed49.pkl
saos_bc_onpolicy_ppo_v5_20260720,Hurink_edata,la16.fjs,R5_composite,composite,50,2580790142.94821,1.065894569099393,1486.7753469293777,54029.77800356932,161.99999999999955,25,67.64576077461243,cpu,sha256(dataset/filename)+42,False,0.996550629073192,0.9244482441329892,70,coverage_latest_guard,0.5056700946641678,2,"[16,14]",-0.012197761355698944,0.42164983227849007,2.224563717842102,70,2.1700800228118897,0.2086458347241084,2.240696609814962,1.992859125137329,0.3571428656578064,2.151012420654297,"[9,11,10,9,9,10,12,10,12,8]",results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed50.pkl
saos_bc_onpolicy_ppo_v5_20260720,Hurink_edata,la16.fjs,R5_composite,composite,51,3164039843.571386,1.197552815026655,1494.4537361020832,53118.697941370694,161.99999999999955,21,66.4439959526062,cpu,sha256(dataset/filename)+42,False,0.980871033601095,0.7107209969647867,70,coverage_latest_guard,0.4535959661486799,2,"[16,14]",-0.00972097047217968,0.4217733647674322,2.263827234506607,70,2.1817652122179667,0.2167708350221316,2.2541074204444884,1.9866843223571777,0.30000001192092896,2.148066282272339,"[12,9,11,8,9,18,7,11,7,8]",results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R5_composite_composite_seed51.pkl
saos_bc_onpolicy_ppo_v5_20260720,Hurink_edata,la16.fjs,R6_adaptive_weight,adaptive,42,2216782009.8170304,1.1706340610684711,1518.5443532368697,52717.65159837105,161.99999999999943,36,66.66675853729248,cpu,sha256(dataset/filename)+42,False,0.9455821394091206,0.7837923102744438,54,coverage_stagnation,0.5867576459418412,3,"[16,16,14]",-0.006761667715701414,0.9312951068083445,1.9818573494752247,54,2.1044343948364257,0.2359801159054041,2.20708063185215,1.864532470703125,0.3333333432674408,2.047003984451294,"[18,21,11,10,5,5,7,10,5,8]",results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R6_adaptive_weight_adaptive_seed42.pkl
saos_bc_onpolicy_ppo_v5_20260720,Hurink_edata,la16.fjs,R6_adaptive_weight,adaptive,43,965452448.6231427,0.7228274270966057,1512.5757278890876,53915.851820302945,161.99999999999955,15,66.38549280166626,cpu,sha256(dataset/filename)+42,False,0.9642308542610697,0.6814913078447037,64,coverage_stagnation,0.5846534843288643,3,"[16,16,4]",-0.0066250626696273685,0.6824516306320826,1.9616393248240154,64,2.1556991356611253,0.19578125,2.2344802820682528,1.9443062543869019,0.296875,2.1008846759796143,"[10,8,15,19,12,8,10,7,4,7]",results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R6_adaptive_weight_adaptive_seed43.pkl
saos_bc_onpolicy_ppo_v5_20260720,Hurink_edata,la16.fjs,R6_adaptive_weight,adaptive,44,1003678940.9994663,1.07328026106633,1535.7658212139424,53972.295193890954,161.99999999999955,13,67.11908984184265,cpu,sha256(dataset/filename)+42,False,0.9873427083465196,0.8341392454337949,70,coverage_latest_guard,0.6145485601839501,2,"[16,14]",-0.0065644404551550295,0.5029195435345173,2.1659209728240967,70,2.183625202178955,0.18138889039556186,2.2499765149752298,1.9993447065353394,0.24285714328289032,2.1474993228912354,"[8,7,10,9,15,11,13,11,9,7]",results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R6_adaptive_weight_adaptive_seed44.pkl
saos_bc_onpolicy_ppo_v5_20260720,Hurink_edata,la16.fjs,R6_adaptive_weight,adaptive,45,915798222.2752037,0.8623189011707,1554.0199509604088,54721.870223637234,161.99999999999932,25,66.69818544387817,cpu,sha256(dataset/filename)+42,False,0.9608578510704958,0.7530594960526531,53,coverage_stagnation,0.5428666240746168,3,"[16,16,15]",-0.009774620318785546,0.7015083904067675,2.1310643752415976,53,2.1179783010482787,0.22145833602175116,2.2217971014976503,1.8813053369522095,0.37735849618911743,2.067014455795288,"[16,7,15,9,17,11,5,7,8,5]",results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R6_adaptive_weight_adaptive_seed45.pkl
saos_bc_onpolicy_ppo_v5_20260720,Hurink_edata,la16.fjs,R6_adaptive_weight,adaptive,46,1457677598.9558785,1.1709133778179464,1610.5085239608266,54660.014464938446,161.99999999999943,17,66.05185508728027,cpu,sha256(dataset/filename)+42,False,0.9764080266674264,0.9471726222832955,43,coverage_stagnation,0.5353239082030029,4,"[16,16,16,9]",-0.007975500892320575,0.7141973404213786,2.1988724172115326,43,2.084118618965149,0.25813920810818675,2.2034365481138227,1.8047016859054565,0.39534884691238403,2.0144407749176025,"[18,11,11,7,9,5,8,12,8,11]",results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R6_adaptive_weight_adaptive_seed46.pkl
