dataset,instance,Budget,variant,HV_common,Cmax_best,TEC_best,WB_best,NSol,Time,Transition_gen,PPO_update_count,BC_final_accuracy,Entropy_last20,seed_count
Brandimarte,Mk04.fjs,100,FixedUCBPPO,0.9043480175291068,113.09192970077156,3688.042034096287,35.99999999999998,60.0,87.47340965270996,48.0,4.0,0.3541666567325592,0.8563064628100546,10
Brandimarte,Mk04.fjs,100,PPOOnly,0.8619519752012956,114.59554768907714,3706.3403078280953,35.999999999999986,67.0,93.81071412563324,-1.0,7.0,0.0,0.9020181229336985,10
Brandimarte,Mk04.fjs,100,RandomUCBPPO,0.8947946240622497,114.44395026819628,3711.207019683169,35.99999999999998,64.0,90.639803647995,55.5,3.5,0.34929434955120087,0.814646872391696,10
Brandimarte,Mk04.fjs,100,UCBOnly,0.9087059167907989,114.18334443805017,3703.5297346585676,35.99999999999998,61.0,88.82521057128906,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk04.fjs,100,UniformFixed,0.8716577107360735,114.05139464236831,3662.775756319925,35.99999999999997,66.5,94.636709690094,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk04.fjs,200,AdaptiveNoBC,0.9145200670838954,104.43972646736287,3617.358704587869,35.99999999999997,76.0,200.66484677791595,89.0,7.0,0.0,0.9057074336417444,10
Brandimarte,Mk04.fjs,200,AdaptiveSAOS,0.8822333294150636,105.95645029186701,3644.3651003951263,35.99999999999997,74.0,190.81954777240753,89.0,7.0,0.27536630630493164,0.8598013717412931,10
Brandimarte,Mk04.fjs,200,FixedUCBPPO,0.8799608055625264,106.20537844314889,3618.3625423026115,35.99999999999997,86.0,191.11259603500366,96.0,7.0,0.2864583283662796,0.8605529342921472,10
Brandimarte,Mk04.fjs,200,PPOOnly,0.876454457226954,105.9583843348147,3611.115478026425,35.99999999999998,84.5,192.57172179222107,-1.0,13.0,0.0,0.8748528715244922,10
Brandimarte,Mk04.fjs,200,RandomUCBPPO,0.898204725432148,104.96148887608973,3598.770988741416,35.99999999999997,81.5,198.84451246261597,107.0,6.0,0.27155056595802307,0.8484391826661402,10
Brandimarte,Mk04.fjs,200,UCBOnly,0.8915311434849504,103.93882439627838,3601.368514592285,35.99999999999997,91.5,194.35902416706085,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk04.fjs,200,UniformFixed,0.8858521887630967,105.71830012036196,3591.132182239143,35.99999999999997,88.0,193.55378806591034,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk05.fjs,50,AdaptiveNoBC,0.887642217512137,234.87637943758702,6537.796598805551,4.0,36.5,50.10885989665985,35.0,1.0,0.0,0.8879125874781606,10
Brandimarte,Mk05.fjs,50,AdaptiveSAOS,0.8972902202302901,233.00104093830302,6513.345210409811,3.999999999999972,32.5,44.82455360889435,35.0,1.0,0.3857142925262451,0.8324417185552796,10
Brandimarte,Mk05.fjs,50,FixedUCBPPO,0.9101776930456091,233.1673792702769,6540.115952507398,4.499999999999972,34.5,46.591904282569885,24.0,2.0,0.7083333134651184,0.6186831182590928,10
Brandimarte,Mk05.fjs,50,PPOOnly,0.9064505992922036,233.85066385396595,6553.746107685915,4.499999999999972,34.5,45.248053789138794,-1.0,4.0,0.0,0.8983288122256525,10
Brandimarte,Mk05.fjs,50,RandomUCBPPO,0.8550404699505408,234.66640005394672,6532.678967105272,4.999999999999943,32.0,45.852877497673035,30.5,2.0,0.5483871102333069,0.7909765299137284,10
Brandimarte,Mk05.fjs,50,UCBOnly,0.9098257019285031,232.3062184047825,6509.898686468116,3.9999999999999574,35.0,45.85075557231903,-1.0,0.0,0.0,0.9886378109248468,10
Brandimarte,Mk05.fjs,50,UniformFixed,0.890927367045567,237.0503370879738,6552.829292552067,2.999999999999943,36.0,45.125887393951416,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk05.fjs,100,AdaptiveNoBC,0.9583752912888103,221.37898430708958,6420.263642230628,2.9999999999999574,36.5,102.58447194099426,62.0,3.0,0.0,0.875604434075346,10
Brandimarte,Mk05.fjs,100,AdaptiveSAOS,0.9384979225036687,223.94463448503927,6441.693716657587,2.999999999999943,36.0,95.56260442733765,62.0,3.0,0.33879782259464264,0.7533744033803496,10
Brandimarte,Mk05.fjs,100,FixedUCBPPO,1.0248618970696755,217.8552002675973,6427.848535330224,2.9999999999999574,37.5,103.81832134723662,48.0,4.0,0.375,0.8548718397545705,10
Brandimarte,Mk05.fjs,100,PPOOnly,0.976032157359372,222.2627977182085,6434.820128328471,2.9999999999999716,45.5,106.06097280979156,-1.0,7.0,0.0,0.8926477176880758,10
Brandimarte,Mk05.fjs,100,RandomUCBPPO,0.9825050397324395,221.5277507621484,6424.885176437601,2.4999999999999574,36.0,108.17235624790192,55.5,3.5,0.3602430522441864,0.833387682882941,10
Brandimarte,Mk05.fjs,100,UCBOnly,0.9907271256106547,218.89952441531955,6415.076539818961,2.999999999999943,39.0,103.30548298358917,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk05.fjs,100,UniformFixed,0.9512353741217718,221.13103498856225,6474.583657365867,1.9999999999999432,41.5,106.61120009422302,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk05.fjs,200,AdaptiveNoBC,1.1082835605845254,210.91921236036794,6333.423316772882,2.9999999999999574,51.5,201.15210235118866,62.0,9.0,0.0,0.8476876201152861,10
Brandimarte,Mk05.fjs,200,AdaptiveSAOS,1.0810604450590577,209.74203560561875,6338.773612603641,2.999999999999943,47.0,199.61836791038513,62.0,9.0,0.31988635659217834,0.7684259031635485,10
Brandimarte,Mk05.fjs,200,FixedUCBPPO,1.1169145165252148,210.6389459403327,6336.93228585754,1.999999999999972,47.0,214.78158676624295,96.0,7.0,0.2604166567325592,0.8598013717412932,10
Brandimarte,Mk05.fjs,200,PPOOnly,1.0719109487068001,213.72665440314418,6331.547178479177,2.4999999999999574,48.5,204.78554141521454,-1.0,13.0,0.0,0.8748528715244922,10
Brandimarte,Mk05.fjs,200,RandomUCBPPO,1.1059663310288608,211.2827065080955,6319.616014541327,1.9999999999999432,43.5,205.7087757587433,107.0,6.0,0.26109322905540466,0.8089657778541195,10
Brandimarte,Mk05.fjs,200,UCBOnly,1.1146113876324557,212.2490416780562,6326.246830467712,1.9999999999999576,55.5,202.2280708551407,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk05.fjs,200,UniformFixed,1.0708938789365512,212.6400083639602,6392.370594439595,1.9999999999999432,45.5,210.3199371099472,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk06.fjs,50,AdaptiveNoBC,0.7867754220039491,162.06963702427774,4180.433443060001,28.499999999999986,75.0,51.87635338306427,35.0,1.0,0.0,0.9000263391041676,10
Brandimarte,Mk06.fjs,50,AdaptiveSAOS,0.7942415816226929,164.91532448048127,4159.7404623183265,29.999999999999957,71.5,56.30605494976044,35.0,1.0,0.3714285790920257,0.8447498719580941,10
Brandimarte,Mk06.fjs,50,FixedUCBPPO,0.7811217456916824,165.1974666462381,4205.983442944405,28.49999999999998,76.0,57.40058743953705,24.0,2.0,0.6666666865348816,0.6640113690088165,10
Brandimarte,Mk06.fjs,50,PPOOnly,0.7977079291643914,165.91155258968172,4456.814029541849,27.999999999999982,64.0,58.23526358604431,-1.0,4.0,0.0,0.8983288122256525,10
Brandimarte,Mk06.fjs,50,RandomUCBPPO,0.7762341409683821,164.2240550210793,4183.748038632423,30.999999999999968,69.0,59.67284297943115,30.5,2.0,0.5180644989013672,0.8126550885621654,10
Brandimarte,Mk06.fjs,50,UCBOnly,0.7942303664335763,164.07979358130459,4198.400416474299,28.99999999999998,68.5,56.41168713569641,-1.0,0.0,0.0,0.9886378109248468,10
Brandimarte,Mk06.fjs,50,UniformFixed,0.7631517063443141,170.94062523880436,4601.343314664462,27.5,59.5,56.65780746936798,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk06.fjs,100,AdaptiveNoBC,0.8422713822505377,154.53675123084784,4150.712548896881,25.999999999999982,86.0,139.2333732843399,70.0,2.0,0.0,0.9150778388873666,10
Brandimarte,Mk06.fjs,100,AdaptiveSAOS,0.8308125215275896,153.56314884749304,4124.356121812147,26.499999999999986,79.5,131.20457112789154,70.0,2.0,0.30322581529617304,0.8383172148696636,10
Brandimarte,Mk06.fjs,100,FixedUCBPPO,0.8389644330563133,151.85053547889086,4112.11517552047,27.49999999999996,84.0,130.99330294132233,48.0,4.0,0.3541666567325592,0.8210795294801265,10
Brandimarte,Mk06.fjs,100,PPOOnly,0.8395483089068362,152.02700458381395,4323.5071556833045,25.499999999999986,76.5,131.3194329738617,-1.0,7.0,0.0,0.8926477176880758,10
Brandimarte,Mk06.fjs,100,RandomUCBPPO,0.8290395053038395,156.21852998046504,4148.115874618001,26.999999999999975,81.0,131.73031842708588,55.5,3.5,0.3453443944454193,0.8230713133096571,10
Brandimarte,Mk06.fjs,100,UCBOnly,0.8356417493585068,154.09087398963965,4155.611068751945,26.99999999999998,81.5,131.7216762304306,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk06.fjs,100,UniformFixed,0.8098345351545189,161.24090796961121,4530.944516430255,23.499999999999964,76.0,122.41373753547668,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk06.fjs,200,AdaptiveNoBC,0.8655772453314203,143.610350919422,4072.300241015285,25.999999999999982,100.0,267.3459333181381,82.5,8.0,0.0,0.8928421194648833,10
Brandimarte,Mk06.fjs,200,AdaptiveSAOS,0.8653125593893973,143.619609521194,4081.9809325199276,24.499999999999968,99.0,276.0235458612442,82.5,8.0,0.27914613485336304,0.845501434508948,10
Brandimarte,Mk06.fjs,200,FixedUCBPPO,0.8634952239768645,141.7647410457513,4074.153126677623,22.999999999999982,100.0,267.97460186481476,96.0,7.0,0.2604166567325592,0.873786401645942,10
Brandimarte,Mk06.fjs,200,PPOOnly,0.8819210764821032,142.69554566568667,4262.860665572991,22.999999999999993,100.0,261.99626064300537,-1.0,13.0,0.0,0.8748528715244922,10
Brandimarte,Mk06.fjs,200,RandomUCBPPO,0.8676311352979911,142.22724745626223,4067.062289961294,21.500000000000004,100.0,275.99966871738434,107.0,6.0,0.2423397228121757,0.8476876201152861,10
Brandimarte,Mk06.fjs,200,UCBOnly,0.8612421812026483,142.77286874150076,4074.419571578694,24.49999999999998,100.0,276.75868928432465,-1.0,0.0,0.0,0.9943189054624233,10
Brandimarte,Mk06.fjs,200,UniformFixed,0.8789081929107715,144.41683433644488,4346.499923443779,20.999999999999968,92.5,275.33410692214966,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk07.fjs,50,AdaptiveNoBC,1.0937331484255615,232.0141013452598,6050.7207904282495,9.5,40.0,43.922096967697144,35.0,1.0,0.0,0.8928421194648833,10
Brandimarte,Mk07.fjs,50,AdaptiveSAOS,1.0943014864873537,231.6428915418961,6060.618375121865,7.999999999999986,48.0,41.42609906196594,35.0,1.0,0.4000000059604645,0.8410605612500482,10
Brandimarte,Mk07.fjs,50,FixedUCBPPO,1.1074432202035258,232.72861842946836,6035.645639366569,10.499999999999957,51.5,48.36575889587402,24.0,2.0,0.625,0.635900153271949,10
Brandimarte,Mk07.fjs,50,PPOOnly,1.0902321756935378,231.2690135542275,6040.55400287399,8.499999999999972,49.0,49.16289973258972,-1.0,4.0,0.0,0.8983288122256525,10
Brandimarte,Mk07.fjs,50,RandomUCBPPO,1.0795316878032244,233.79020699525978,6042.980832625607,9.999999999999943,51.5,42.537923097610474,30.5,2.0,0.5341935455799103,0.7810489638940594,10
Brandimarte,Mk07.fjs,50,UCBOnly,1.0946115973534463,233.02307367608753,6045.19574630314,9.999999999999972,39.0,46.42657387256622,-1.0,0.0,0.0,0.9886378109248468,10
Brandimarte,Mk07.fjs,50,UniformFixed,1.1254619157437442,228.8471436659513,6049.668086741957,8.0,48.0,44.70734906196594,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk07.fjs,100,AdaptiveNoBC,1.0915876651578706,213.60218789376393,5952.917489883919,5.999999999999986,48.0,106.28282332420349,70.0,2.0,0.0,0.9170696227168972,10
Brandimarte,Mk07.fjs,100,AdaptiveSAOS,1.0921931719550988,212.75985103419356,5938.553586928508,5.999999999999986,42.0,102.52061998844147,70.0,2.0,0.2928571552038193,0.8469360575644322,10
Brandimarte,Mk07.fjs,100,FixedUCBPPO,1.1112123570895698,209.45651343334538,5944.267563484293,5.499999999999972,44.0,94.07413077354431,48.0,4.0,0.3541666567325592,0.8598013717412931,10
Brandimarte,Mk07.fjs,100,PPOOnly,1.0807730559547675,214.3493904367337,5943.337479289744,3.999999999999972,54.0,101.70644545555115,-1.0,7.0,0.0,0.9020181229336985,10
Brandimarte,Mk07.fjs,100,RandomUCBPPO,1.0978742399472117,210.8453892078357,5960.620984970539,6.499999999999972,46.5,105.41264641284943,55.5,3.5,0.34408602118492126,0.8353794667124717,10
Brandimarte,Mk07.fjs,100,UCBOnly,1.1052293882990818,212.12256673242888,5950.384296585837,5.999999999999929,50.5,104.69798445701599,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk07.fjs,100,UniformFixed,1.0979266279822186,211.70315493721287,5947.842226999004,5.999999999999957,52.0,104.03311920166016,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk07.fjs,200,AdaptiveNoBC,1.132696973360333,195.48420001224162,5852.736374338699,4.999999999999943,53.5,216.73991799354553,92.5,7.0,0.0,0.8899043713076914,10
Brandimarte,Mk07.fjs,200,AdaptiveSAOS,1.142856721976099,195.29701948014352,5862.487868797403,4.999999999999957,61.5,212.23000490665436,92.5,7.0,0.26682692766189575,0.8390687774205174,10
Brandimarte,Mk07.fjs,200,FixedUCBPPO,1.1289391380207427,197.321805771274,5862.806468160668,4.499999999999943,52.0,215.08773005008698,96.0,7.0,0.2760416716337204,0.8409400556991593,10
Brandimarte,Mk07.fjs,200,PPOOnly,1.1116394473567022,199.96368070280536,5851.233364726952,3.999999999999943,54.5,194.09835290908813,-1.0,13.0,0.0,0.8748528715244922,10
Brandimarte,Mk07.fjs,200,RandomUCBPPO,1.134665825079086,195.57287399876324,5841.054277349172,4.499999999999957,48.5,216.19491386413574,107.0,6.0,0.2552004754543304,0.8260090614668492,10
Brandimarte,Mk07.fjs,200,UCBOnly,1.1451936702914343,194.09677359035277,5864.910917112277,4.999999999999929,63.5,209.8111481666565,-1.0,0.0,0.0,0.9886378109248468,10
Brandimarte,Mk07.fjs,200,UniformFixed,1.1343639700004677,196.65102972744785,5847.1729722014625,4.999999999999957,65.0,204.58404457569122,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk08.fjs,50,AdaptiveNoBC,0.9764141766477819,800.491180449488,30034.401416310728,522.9999999999998,8.5,77.51603579521179,35.0,1.0,0.0,0.941491527745719,10
Brandimarte,Mk08.fjs,50,AdaptiveSAOS,1.011659778060975,791.7497558605705,30004.765233044523,522.9999999999998,7.5,74.88225543498993,35.0,1.0,0.35714286565780634,0.8398203399713715,10
Brandimarte,Mk08.fjs,50,FixedUCBPPO,0.9709451666651827,796.264944598782,30165.42054308634,522.9999999999998,9.0,70.7964893579483,24.0,2.0,0.5833333134651184,0.7054765576503678,10
Brandimarte,Mk08.fjs,50,PPOOnly,0.8864838947000717,799.8236092846527,30369.60501597664,522.9999999999998,8.0,75.14574360847473,-1.0,4.0,0.0,0.8983288122256525,10
Brandimarte,Mk08.fjs,50,RandomUCBPPO,0.9933437188786653,795.9924218424574,30029.036509179925,522.9999999999998,8.5,76.24677038192749,30.5,2.0,0.5398185551166534,0.7361573683674933,10
Brandimarte,Mk08.fjs,50,UCBOnly,0.9586027774950536,800.7287747785441,30152.901925982595,522.9999999999998,9.5,67.58092844486237,-1.0,0.0,0.0,0.9829567163872702,10
Brandimarte,Mk08.fjs,50,UniformFixed,0.8689255742794079,818.9291701470509,30053.802275826085,522.9999999999998,8.0,70.28174495697021,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk08.fjs,100,AdaptiveNoBC,1.0345205192557136,755.3068787892975,29249.45348726574,522.9999999999998,11.5,169.49151504039764,62.0,3.0,0.0,0.9012665603828445,10
Brandimarte,Mk08.fjs,100,AdaptiveSAOS,1.0286375978141098,755.5330479705707,29201.030824373593,522.9999999999998,8.5,176.24577641487122,62.0,3.0,0.3025761097669601,0.8353794667124717,10
Brandimarte,Mk08.fjs,100,FixedUCBPPO,1.0122945543276223,761.8541818351462,29331.048890581267,522.9999999999998,10.0,173.33787739276886,48.0,4.0,0.34375,0.851376930823332,10
Brandimarte,Mk08.fjs,100,PPOOnly,0.9532755976325498,752.1053307228624,29516.086106106,522.9999999999998,11.5,168.3207230567932,-1.0,7.0,0.0,0.9020181229336985,10
Brandimarte,Mk08.fjs,100,RandomUCBPPO,1.0105138492572812,759.5953534251082,29277.296577034824,522.9999999999998,10.0,173.60107421875,55.5,3.5,0.3418029099702835,0.814646872391696,10
Brandimarte,Mk08.fjs,100,UCBOnly,1.0226494337641188,755.6335888318292,29240.94551337468,522.9999999999998,12.0,175.4225195646286,-1.0,0.0,0.0,0.9829567163872702,10
Brandimarte,Mk08.fjs,100,UniformFixed,0.9720173426735853,761.3339034755572,29467.44076371742,522.9999999999998,11.0,177.83509814739227,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk08.fjs,200,AdaptiveNoBC,1.0333063881727624,712.536695843937,28385.599719531714,522.9999999999998,10.0,291.1328377723694,62.0,9.0,0.0,0.84843918266614,10
Brandimarte,Mk08.fjs,200,AdaptiveSAOS,1.0251148510083072,716.7659287787608,28483.341735586502,522.9999999999998,9.5,280.81646955013275,62.0,9.0,0.32332730293273926,0.8326361203320871,10
Brandimarte,Mk08.fjs,200,FixedUCBPPO,1.0391549179612536,710.4736748128214,28348.70423197889,522.9999999999998,11.0,298.37147665023804,96.0,7.0,0.28125,0.8928421194648833,10
Brandimarte,Mk08.fjs,200,PPOOnly,0.9887056737999976,711.126505046291,28662.95997096614,522.9999999999998,11.5,297.72468304634094,-1.0,13.0,0.0,0.8748528715244922,10
