dataset,instance,variant,reward_scheme,seed,front_pickle_resolved,front_points_raw,front_points_unique_nondominated,pearson_cmax_tec,spearman_cmax_tec,correlation_status
Hurink_edata,la15.fjs,R4_survival_hv,survival_hv,47,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R4_survival_hv_survival_hv_seed47.pkl,19,19,0.4693729986978189,0.042105263157894736,computed
Hurink_edata,la15.fjs,R4_survival_hv,survival_hv,49,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R4_survival_hv_survival_hv_seed49.pkl,16,16,0.9674053642478805,0.108983917898817,computed
Hurink_edata,la15.fjs,R4_survival_hv,survival_hv,50,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R4_survival_hv_survival_hv_seed50.pkl,6,6,0.9556542456325229,0.7714285714285715,computed
Hurink_edata,la15.fjs,R4_survival_hv,survival_hv,51,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R4_survival_hv_survival_hv_seed51.pkl,28,28,0.9605489686991502,0.45922276956759717,computed
Hurink_edata,la15.fjs,R5_composite,composite,42,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R5_composite_composite_seed42.pkl,20,20,0.9885645194840181,0.805869302623316,computed
Hurink_edata,la15.fjs,R5_composite,composite,43,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R5_composite_composite_seed43.pkl,15,15,0.9771645264513349,0.8964285714285712,computed
Hurink_edata,la15.fjs,R5_composite,composite,44,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R5_composite_composite_seed44.pkl,34,34,-0.12434433335102986,-0.3378925740188941,computed
Hurink_edata,la15.fjs,R5_composite,composite,45,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R5_composite_composite_seed45.pkl,41,41,-0.10952131047490472,-0.17971948844221503,computed
Hurink_edata,la15.fjs,R5_composite,composite,46,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R5_composite_composite_seed46.pkl,35,35,0.459775689117951,0.05673460936347345,computed
Hurink_edata,la15.fjs,R5_composite,composite,47,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R5_composite_composite_seed47.pkl,26,26,0.9167392687598424,0.5751410581579346,computed
Hurink_edata,la15.fjs,R5_composite,composite,48,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R5_composite_composite_seed48.pkl,28,28,0.8865055080341454,-0.24893885062167595,computed
Hurink_edata,la15.fjs,R5_composite,composite,50,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R5_composite_composite_seed50.pkl,8,8,0.9572381485702232,0.8333333333333335,computed
Hurink_edata,la15.fjs,R5_composite,composite,49,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R5_composite_composite_seed49.pkl,17,17,0.957912141795693,0.46597188402730666,computed
Hurink_edata,la15.fjs,R5_composite,composite,51,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R5_composite_composite_seed51.pkl,14,14,0.989979637150748,0.7106714971491007,computed
Hurink_edata,la15.fjs,R6_adaptive_weight,adaptive,42,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R6_adaptive_weight_adaptive_seed42.pkl,16,16,0.6538454339058829,0.45294117647058824,computed
Hurink_edata,la15.fjs,R6_adaptive_weight,adaptive,43,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R6_adaptive_weight_adaptive_seed43.pkl,24,24,0.9701738085128045,0.4586598777988975,computed
Hurink_edata,la15.fjs,R6_adaptive_weight,adaptive,44,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R6_adaptive_weight_adaptive_seed44.pkl,38,38,0.5841284928871274,-0.18134063171835624,computed
Hurink_edata,la15.fjs,R6_adaptive_weight,adaptive,45,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R6_adaptive_weight_adaptive_seed45.pkl,29,29,0.568200636061102,0.49082176569023994,computed
Hurink_edata,la15.fjs,R6_adaptive_weight,adaptive,46,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R6_adaptive_weight_adaptive_seed46.pkl,16,16,0.8289585158691739,0.5323529411764706,computed
Hurink_edata,la15.fjs,R6_adaptive_weight,adaptive,47,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R6_adaptive_weight_adaptive_seed47.pkl,29,29,0.9134887913622479,-0.058142401370327286,computed
Hurink_edata,la15.fjs,R6_adaptive_weight,adaptive,48,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R6_adaptive_weight_adaptive_seed48.pkl,27,27,0.732490912921367,-0.05742212433648752,computed
Hurink_edata,la15.fjs,R6_adaptive_weight,adaptive,49,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R6_adaptive_weight_adaptive_seed49.pkl,22,22,0.8965391404876567,-0.13050849540497717,computed
Hurink_edata,la15.fjs,R6_adaptive_weight,adaptive,50,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R6_adaptive_weight_adaptive_seed50.pkl,20,20,0.933741181656882,0.5218045112781955,computed
Hurink_edata,la16.fjs,R1_survival_only,survival,42,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R1_survival_only_survival_seed42.pkl,38,38,0.9399218320590046,0.37752366418601707,computed
Hurink_edata,la15.fjs,R6_adaptive_weight,adaptive,51,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R6_adaptive_weight_adaptive_seed51.pkl,21,21,0.9654179997741362,0.41298701298701296,computed
Hurink_edata,la16.fjs,R1_survival_only,survival,43,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R1_survival_only_survival_seed43.pkl,12,12,0.9725319324995931,0.62697118916282,computed
Hurink_edata,la16.fjs,R1_survival_only,survival,44,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R1_survival_only_survival_seed44.pkl,7,7,0.9896400717580017,0.6306562238868914,computed
Hurink_edata,la16.fjs,R1_survival_only,survival,45,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R1_survival_only_survival_seed45.pkl,21,21,0.8163198340072276,-0.24805194805194808,computed
Hurink_edata,la16.fjs,R1_survival_only,survival,46,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R1_survival_only_survival_seed46.pkl,19,19,0.9745062926836516,0.8649122807017543,computed
Hurink_edata,la16.fjs,R1_survival_only,survival,47,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R1_survival_only_survival_seed47.pkl,21,21,0.9860384552016936,0.9070827126047876,computed
Hurink_edata,la16.fjs,R1_survival_only,survival,48,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R1_survival_only_survival_seed48.pkl,15,15,0.9778318758774684,0.7714285714285712,computed
Hurink_edata,la16.fjs,R1_survival_only,survival,49,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R1_survival_only_survival_seed49.pkl,18,18,0.967947168248809,0.6676986584107326,computed
Hurink_edata,la16.fjs,R1_survival_only,survival,50,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la16_R1_survival_only_survival_seed50.pkl,17,17,0.9779439948679431,0.911764705882353,computed
