dataset,instance,samples,transport_time_ratio_target,transport_time_ratio_realized,agv_energy_share_median,agv_energy_share_q25,agv_energy_share_q75,cmax_energy_correlation,loaded_energy_per_distance_low,loaded_energy_per_distance_mid,loaded_energy_per_distance_high,speed_energy_strictly_increasing,all_objectives_finite
Hurink_edata,la20.fjs,40,0.3,0.30000000000000004,0.09802514277725846,0.09456863761536716,0.1021836586002671,0.8832433538557929,2.659278197929944,3.9889172968949156,5.318556395859888,True,True
Hurink_edata,la21.fjs,40,0.3,0.3,0.07674108438695111,0.07318467300784126,0.07860764526935582,0.8864750903729322,2.0798163688725975,3.119724553308896,4.159632737745195,True,True
Hurink_edata,la22.fjs,40,0.3,0.3,0.08282368985104345,0.08062968391391337,0.0860904593482262,0.9688943355963696,2.489625856963077,3.7344387854446155,4.979251713926154,True,True
Hurink_edata,la23.fjs,40,0.3,0.3,0.09196619133560978,0.08813429705365189,0.09520750206986517,0.9520754739925728,2.2041120034158928,3.306168005123839,4.4082240068317855,True,True
Hurink_edata,la24.fjs,40,0.3,0.3,0.09566035505883286,0.09221282756335478,0.09910316848293167,0.9458804309032016,2.345072740808501,3.517609111212751,4.690145481617002,True,True
Hurink_edata,la25.fjs,40,0.3,0.3,0.09484733912738794,0.09161136472290704,0.09751911402689158,0.8846689615505418,2.7515087953486823,4.1272631930230235,5.503017590697365,True,True
Hurink_edata,la26.fjs,40,0.3,0.3,0.06990381869006904,0.06769056580763046,0.07106673610990247,0.9271742168368716,2.124183847190806,3.186275770786209,4.248367694381612,True,True
Hurink_edata,la27.fjs,40,0.3,0.3,0.09101299840950558,0.08811762668746924,0.09252885938672059,0.9347341917693536,2.4966720315597133,3.7450080473395695,4.993344063119427,True,True
Hurink_edata,la28.fjs,40,0.3,0.3,0.09299682373168766,0.08930408219561904,0.09584069893246795,0.9336823463722118,2.1984287694239835,3.297643154135975,4.396857538847967,True,True
Hurink_edata,la29.fjs,40,0.3,0.3,0.0920865980407346,0.08975776030806792,0.09435782409640144,0.9489641105965649,2.6902272787061587,4.035340918059238,5.3804545574123175,True,True
Hurink_edata,la30.fjs,40,0.3,0.30000000000000004,0.10177325462653272,0.09952681494022764,0.10377059597820681,0.9447795761915558,2.4765978211683346,3.7148967317525017,4.953195642336669,True,True
Hurink_edata,la31.fjs,40,0.3,0.3,0.09642399558151468,0.09347393474811568,0.09823863509306918,0.9622127762961217,2.3042721037551948,3.456408155632792,4.6085442075103895,True,True
Hurink_edata,la32.fjs,40,0.3,0.3,0.10658308159247615,0.10476417073583541,0.11010678503927686,0.9775063024203715,2.7078351116103807,4.06175266741557,5.415670223220761,True,True
Hurink_edata,la33.fjs,40,0.3,0.3,0.10969416509043461,0.1079716338092853,0.1121767400707096,0.9514317898067771,2.8173204243327126,4.225980636499068,5.634640848665425,True,True
Hurink_edata,la34.fjs,40,0.3,0.29999999999999993,0.08423067711299492,0.08299428651415101,0.08620720208718366,0.9415124230796236,2.052735884302929,3.0791038264543933,4.105471768605858,True,True
Hurink_edata,la35.fjs,40,0.3,0.3,0.09996908460877066,0.09808485223699151,0.10212217857875891,0.9273305558501996,2.4960765046965774,3.744114757044866,4.992153009393155,True,True
Hurink_edata,la36.fjs,40,0.3,0.3,0.06782363741751544,0.06551059710918646,0.0692253190626808,0.9305504395054864,2.412042870296618,3.6180643054449266,4.824085740593236,True,True
Hurink_edata,la37.fjs,40,0.3,0.29999999999999993,0.06309965755933153,0.06169225918106937,0.06526050458388814,0.9596989360288737,2.139651746661352,3.2094776199920276,4.279303493322704,True,True
Hurink_edata,la38.fjs,40,0.3,0.3,0.07632161534415707,0.07375112055825672,0.07769831008387569,0.9629501623625554,2.4273732396946075,3.641059859541911,4.854746479389215,True,True
Hurink_edata,la39.fjs,40,0.3,0.3,0.0657337151758031,0.06403315630875711,0.06740821414625561,0.9509494821283516,2.1753821793506276,3.2630732690259414,4.350764358701255,True,True
Hurink_edata,la40.fjs,40,0.3,0.30000000000000004,0.08395295489874782,0.08024401268314016,0.08595833606023998,0.8981042459359067,2.9461780697614204,4.41926710464213,5.892356139522841,True,True
