Budget,variant,true_action,predicted_action,count,row_proportion
200,EnhancedBC_R32,4,0,48,0.061855670103092786
200,EnhancedBC_R32,4,1,18,0.023195876288659795
200,EnhancedBC_R32,4,2,134,0.17268041237113402
200,EnhancedBC_R32,4,3,47,0.06056701030927835
200,EnhancedBC_R32,4,4,252,0.3247422680412371
200,EnhancedBC_R32,4,5,22,0.028350515463917526
200,EnhancedBC_R32,4,6,30,0.03865979381443299
200,EnhancedBC_R32,4,7,46,0.059278350515463915
200,EnhancedBC_R32,4,8,3,0.003865979381443299
200,EnhancedBC_R32,4,9,176,0.2268041237113402
200,EnhancedBC_R32,5,0,39,0.052702702702702706
200,EnhancedBC_R32,5,1,24,0.032432432432432434
200,EnhancedBC_R32,5,2,112,0.15135135135135136
200,EnhancedBC_R32,5,3,32,0.043243243243243246
200,EnhancedBC_R32,5,4,40,0.05405405405405406
200,EnhancedBC_R32,5,5,232,0.31351351351351353
200,EnhancedBC_R32,5,6,38,0.051351351351351354
200,EnhancedBC_R32,5,7,53,0.07162162162162163
200,EnhancedBC_R32,5,8,5,0.006756756756756757
200,EnhancedBC_R32,5,9,165,0.22297297297297297
200,EnhancedBC_R32,6,0,48,0.061381074168797956
200,EnhancedBC_R32,6,1,35,0.04475703324808184
200,EnhancedBC_R32,6,2,112,0.1432225063938619
200,EnhancedBC_R32,6,3,25,0.0319693094629156
200,EnhancedBC_R32,6,4,24,0.030690537084398978
200,EnhancedBC_R32,6,5,12,0.015345268542199489
200,EnhancedBC_R32,6,6,275,0.3516624040920716
200,EnhancedBC_R32,6,7,76,0.09718670076726342
200,EnhancedBC_R32,6,8,3,0.0038363171355498722
200,EnhancedBC_R32,6,9,172,0.21994884910485935
200,EnhancedBC_R32,7,0,57,0.07402597402597402
200,EnhancedBC_R32,7,1,23,0.02987012987012987
200,EnhancedBC_R32,7,2,99,0.12857142857142856
200,EnhancedBC_R32,7,3,14,0.01818181818181818
200,EnhancedBC_R32,7,4,30,0.03896103896103896
200,EnhancedBC_R32,7,5,15,0.01948051948051948
200,EnhancedBC_R32,7,6,34,0.04415584415584416
200,EnhancedBC_R32,7,7,312,0.4051948051948052
200,EnhancedBC_R32,7,8,12,0.015584415584415584
200,EnhancedBC_R32,7,9,174,0.22597402597402597
200,EnhancedBC_R32,8,0,33,0.04700854700854701
200,EnhancedBC_R32,8,1,22,0.03133903133903134
200,EnhancedBC_R32,8,2,65,0.09259259259259259
200,EnhancedBC_R32,8,3,13,0.018518518518518517
200,EnhancedBC_R32,8,4,13,0.018518518518518517
200,EnhancedBC_R32,8,5,13,0.018518518518518517
200,EnhancedBC_R32,8,6,41,0.0584045584045584
200,EnhancedBC_R32,8,7,55,0.07834757834757834
200,EnhancedBC_R32,8,8,215,0.30626780626780625
200,EnhancedBC_R32,8,9,232,0.33048433048433046
200,EnhancedBC_R32,9,0,67,0.08333333333333333
200,EnhancedBC_R32,9,1,33,0.041044776119402986
200,EnhancedBC_R32,9,2,96,0.11940298507462686
200,EnhancedBC_R32,9,3,20,0.024875621890547265
200,EnhancedBC_R32,9,4,18,0.022388059701492536
200,EnhancedBC_R32,9,5,8,0.009950248756218905
200,EnhancedBC_R32,9,6,32,0.03980099502487562
200,EnhancedBC_R32,9,7,67,0.08333333333333333
200,EnhancedBC_R32,9,8,9,0.011194029850746268
200,EnhancedBC_R32,9,9,454,0.5646766169154229
200,EnhancedBC_R8,0,0,340,0.40476190476190477
