dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,Time,Learning_time,Transition_gen,BC_pre_accuracy,BC_final_accuracy,BC_pre_loss,BC_final_loss,BC_pre_post_KL,Demo_nn_disagreement,Demo_ucb_margin_median,Demo_forced_fraction,PPO_action_effective_updates,PPO_terminal_full_updates,PPO_terminal_residual_updates,PPO_optimizer_steps,PPO_approx_KL_mean,PPO_entropy_mean,PPO_gradient_norm_mean,PPO_explained_variance_pre_mean,Reward_HV_corr,Outside_reference_points
Brandimarte,Mk08.fjs,100,EnhancedBC_R16,1.0455914327017468,2.836165365054283,0.06900050067180472,755.8200003768668,29291.813307878947,522.9999999999998,12.5,134.95972871780396,0.3634919999167323,62.0,0.0857142880558967,0.4437939077615738,2.3063548803329468,1.6537182331085205,1.4004288911819458,0.8640515222482436,0.00841405987739555,0.3226645849596669,2.0,0.0,1.0,12.0,0.0055662882397882,2.1771755566199618,1.9420157720645266,0.0020852982997894,0.4988680388734676,0.0
Brandimarte,Mk08.fjs,100,EnhancedNoBC_R16,1.0464508704759106,2.8380598920953237,0.06417742881015626,755.410139611875,29234.20903489967,522.9999999999998,11.0,128.17388939857483,0.0337385637685656,62.0,0.0,0.0,0.0,0.0,0.0,0.8640515222482436,0.00841405987739555,0.3226645849596669,2.0,0.0,1.0,12.0,0.000283492157039,2.298665901025136,0.7970097457369169,0.00206670165061945,0.5028325635386331,0.0
Brandimarte,Mk08.fjs,100,Original24BC_R16,1.048401364177041,2.8440412510692017,0.06856219604132595,752.9441663425443,29242.010957478564,522.9999999999998,11.0,147.42409944534302,0.4760102308355272,62.0,0.09047619253396985,0.3046838492155075,2.3058745861053467,1.944828927516937,0.36698196828365326,0.9325526932084309,0.00841405987739555,0.3226645849596669,2.0,0.0,1.0,12.0,0.0001523220678790733,2.1849709888299307,1.1195252891629934,0.00098772595326105,0.48928630868924444,0.0
Brandimarte,Mk08.fjs,100,Original24NoBC_R16,1.0329734523079164,2.8123850602067995,0.07567146375942854,759.9007023166432,29317.601781204947,522.9999999999998,10.0,147.1964854001999,0.03662810474634165,62.0,0.0,0.0,0.0,0.0,0.0,0.9325526932084309,0.00841405987739555,0.3226645849596669,2.0,0.0,1.0,12.0,-5.500949685344203e-05,2.299036368727684,0.7202171136935552,0.00441242257754005,0.5071020444329742,0.0
Brandimarte,Mk08.fjs,100,UCBOnly,1.0404231257657777,2.8278169396463935,0.06694385716608253,755.6335888318292,29240.94551337468,522.9999999999998,12.0,145.14244771003723,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5126422097592709,0.0
Brandimarte,Mk08.fjs,200,EnhancedBC_R16,0.9936548987671814,2.7383697720367186,0.09995561796030633,708.978782208718,28663.411311760967,522.9999999999998,11.0,252.59404325485232,0.48161734780296683,62.0,0.0891755931079387,0.4447859674692154,2.306944251060486,1.6555150151252747,1.2456332445144653,0.8523451730418943,0.00963580608367915,0.3226645849596669,8.0,0.0,1.0,36.0,0.00231923317991785,2.1730577804148195,1.9390634480863809,-0.0008766837418079501,0.45615843323047145,0.0
Brandimarte,Mk08.fjs,200,EnhancedBC_R32,1.0406915685507232,2.8278084749696752,0.08980158652168935,708.9876337489127,28352.32665865825,522.9999999999998,10.5,275.8595448732376,0.41063389834016556,62.0,0.0891755931079387,0.4447859674692154,2.306944251060486,1.6555150151252747,1.2456332445144653,0.8523451730418943,0.00963580608367915,0.3226645849596669,4.0,0.0,1.0,20.0,0.0020585847475255,2.081296239793301,1.834177228808403,-0.0058671221137046505,0.41894488748399794,0.0
Brandimarte,Mk08.fjs,200,EnhancedBC_R8,1.0129045681149975,2.77643151225979,0.09376909566108725,709.8550387323858,28456.637689367875,522.9999999999998,9.5,252.96682715415955,0.5935267177410424,62.0,0.0891755931079387,0.4447859674692154,2.306944251060486,1.6555150151252747,1.2456332445144653,0.8523451730418943,0.00963580608367915,0.3226645849596669,17.0,0.0,0.5,70.0,0.0029995392612551,2.0193711532966088,2.533493127259943,-0.00225858745120815,0.4327629262500996,0.0
Brandimarte,Mk08.fjs,200,UCBOnly,1.0639702955421644,2.872463370026691,0.07847040924629906,707.9168788582247,28283.708639839737,522.9999999999998,11.0,254.28080463409424,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43593942709792743,0.0
Brandimarte,Mk10.fjs,100,BasePaddedBC_R16,0.8927519621918001,2.5501929880062875,0.1234179073730318,579.232146957152,22553.34376264225,221.49999999999994,28.0,158.42118501663208,0.5595759279094636,70.0,0.1000000014901161,0.28053830564022064,2.3054641485214233,2.014155864715576,0.30530908703804016,0.9134453781512604,0.010391891002655,0.2857142857142857,1.0,0.0,1.0,8.0,0.00024479387294758573,2.242128536105156,1.0735628381371498,-0.00015462934970854997,0.5491259126701733,0.0
Brandimarte,Mk10.fjs,100,BasePaddedNoBC_R16,0.9302822819398937,2.6337985137046633,0.14564702325364262,576.5955862927619,22385.42309731559,220.99999999999994,25.5,153.92741215229034,0.028966216370463302,70.0,0.0,0.0,0.0,0.0,0.0,0.9134453781512604,0.010391891002655,0.2857142857142857,1.0,0.0,1.0,8.0,0.00015050083814981867,2.2998683601617813,0.7919868007302284,0.0005052536725998,0.5614798169628128,0.0
