dataset,instance,variant,Budget,seed,normalized_min,normalized_max,coordinates_below_zero,coordinates_above_one,coordinates_above_reference,reference_dominates_front,front_points,front_path,front_sha256,outside_reference_points,inside_reference_points,outside_dimension_counts,outside_dimension_maxima,amended_fixed_box_hv_valid
Brandimarte,Mk01.fjs,Original24NoBC_R16,100,42,2.42230478100034e-16,0.6818181818181819,0,0,0,True,71,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24NoBC_R16_g100_seed42.pkl,dd71c1cb41b85572596cb818f6a9652096667622a795e5a4314b426274eb9757,0,71,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,UCBOnly,100,51,0.022727272727273037,0.7272727272727273,0,0,0,True,99,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed51.pkl,4f491c36dab2c0d6f806cd92cbaa7162b606e5edfa5d142de861d8ae0beb6a55,0,99,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24BC_R16,100,43,1.6148698540002268e-16,0.6363636363636365,0,0,0,True,90,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24BC_R16_g100_seed43.pkl,05039729a3532a41ff05e1177836ea6e09771c74fd12c0023cc49ac420364cdf,0,90,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24NoBC_R16,100,51,4.84460956200068e-16,0.7727272727272726,0,0,0,True,62,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24NoBC_R16_g100_seed51.pkl,fa50f5de7f2f97233873f3ec160d99c4828aec9071cb8afbfb4569c36dc4438a,0,62,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedBC_R16,100,47,-0.007490702911085851,0.7272727272727273,1,0,0,True,87,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedBC_R16_g100_seed47.pkl,7f21d2bfa4650d434f2d7dbaab859c680e85f0c3fdf823d8396adc1233a05e36,0,87,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24BC_R16,100,42,2.42230478100034e-16,0.7272727272727273,0,0,0,True,77,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24BC_R16_g100_seed42.pkl,3e46b1661a45c982f760b66668a95dfdfa2d952d9289f1c269e1bd7b61fdf90b,0,77,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedBC_R16,100,45,1.6148698540002268e-16,0.590909090909091,0,0,0,True,66,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedBC_R16_g100_seed45.pkl,66970549ab6051a5dacb602a38992cb1bc0540bcf4476218904005f56ecb9ba1,0,66,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,BasePaddedBC_R16,100,42,2.42230478100034e-16,0.8636363636363635,0,0,0,True,66,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_BasePaddedBC_R16_g100_seed42.pkl,03b6ae7ecc2239b42a3be7088bd0792a511797ac4a6d7855bf1f5354e2c7ce69,0,66,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24NoBC_R16,100,44,2.42230478100034e-16,0.9999999999999999,0,0,0,True,75,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24NoBC_R16_g100_seed44.pkl,3266a64904ebd360f8af7c7baf8ba80e7c132d8951abbdbdea87fd36514e82a7,0,75,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24NoBC_R16,100,50,2.42230478100034e-16,0.7727272727272727,0,0,0,True,63,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24NoBC_R16_g100_seed50.pkl,410e8dfe6ce95b27af1adc701fee161497f507b2d89f6ca3425920a7909f66e3,0,63,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
