dataset,instance,variant,Budget,seed,feature_index,mean,std,min,max,constant
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,51,0.8152858565251032,0.026905125379442778,0.7579615712165833,0.856049656867981,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,52,0.8286696126063665,0.02403103109970225,0.7629998326301575,0.8466238975524902,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,53,0.7558029360241361,0.02490279814741003,0.7199662327766418,0.8106828927993774,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,54,0.7545874665180842,0.021289284261913698,0.7212309241294861,0.7855615615844727,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,55,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,56,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,57,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,58,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,59,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,60,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,61,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,62,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,63,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,64,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,65,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,66,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,67,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,68,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,69,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,70,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,71,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,72,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,73,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,74,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,75,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,76,1.0,0.0,1.0,1.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,77,1.0,0.0,1.0,1.0,True
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,78,0.07798625799154656,0.05401516424205071,0.002257462590932846,0.19818314909934998,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,25,0.10799999982118606,0.02166410270766981,0.07999999821186066,0.14000000059604645,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,26,0.10200000082453092,0.007916227096768782,0.07999999821186066,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,27,0.09533333281675975,0.014313940575410205,0.07999999821186066,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,28,0.1193333312869072,0.00813770330760767,0.10000000149011612,0.14000000059604645,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,29,0.138666666050752,0.015434448429645488,0.10000000149011612,0.1599999964237213,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,30,0.07266666578749816,0.018245243619569404,0.03999999910593033,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,31,0.0853333325435718,0.010241529035380755,0.05999999865889549,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,32,0.08666666621963183,0.011925697279439297,0.05999999865889549,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,33,0.098666666696469,0.012578641465182375,0.07999999821186066,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,34,0.09333333373069763,0.009428091961205079,0.07999999821186066,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,35,0.09266666571299235,0.017113996676782064,0.07000000029802322,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,36,0.08666666770974794,0.009775253377927836,0.07000000029802322,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,37,0.08500000263253847,0.008465618193764514,0.07000000029802322,0.09000000357627869,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,38,0.09066666786869367,0.00997775358828406,0.07000000029802322,0.10999999940395355,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,39,0.09933333347241084,0.01481740636892214,0.07000000029802322,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,47,40,0.07000000029802322,0.0,0.07000000029802322,0.07000000029802322,True
