dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,Time,CPU_time,Learning_time,Initial_evaluations,Offspring_evaluations,Transition_gen,BC_final_accuracy,BC_pre_post_KL,Demo_nn_disagreement,PPO_samples,PPO_action_effective_updates,PPO_terminal_full_updates,PPO_terminal_residual_updates,PPO_optimizer_steps,PPO_approx_KL_mean,PPO_entropy_mean,seed_count
Brandimarte,Mk04.fjs,100,BasePaddedNoBC_R16,0.9456690611908976,2.705898807411711,0.0853054247807618,111.85701699837608,3654.588630719724,35.99999999999998,47.0,81.8642783164978,81.161951021,0.0286458460614085,100.0,10000.0,70.0,0.0,0.0,0.9285714285714286,30.0,1.0,0.0,1.0,8.0,-6.639479397563264e-05,2.2995369732379918,5
Brandimarte,Mk04.fjs,100,EnhancedBC_R16,0.9174884077921306,2.6545288423922564,0.08818823128774773,112.61509634355215,3635.9676481543374,35.99999999999998,52.0,82.34472584724426,81.672577886,0.4374328712001443,100.0,10000.0,70.0,0.3857142925262451,1.168006181716919,0.8428571428571429,30.0,1.0,0.0,1.0,8.0,-0.0018078808570862,2.210718274116516,5
Brandimarte,Mk04.fjs,100,EnhancedNoBC_R16,0.949111131848968,2.721570002959111,0.0853054247807618,111.10093601391048,3654.588630719724,35.99999999999998,53.0,76.25060415267944,75.717538532,0.0275687109678983,100.0,10000.0,70.0,0.0,0.0,0.8428571428571429,30.0,1.0,0.0,1.0,8.0,-7.212560740299523e-05,2.2987661361694336,5
Brandimarte,Mk04.fjs,100,UCBOnly,0.9357835786413449,2.68549028429719,0.08381923507897301,109.77253224680643,3688.2410463785977,35.99999999999998,67.0,73.35808062553406,72.999974565,0.0,100.0,10000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Brandimarte,Mk04.fjs,200,EnhancedBC_R16,0.8897147142952415,2.6170229032762813,0.10310826418488941,104.76278833195674,3614.442213041853,35.99999999999998,74.0,152.86289834976196,152.062421512,0.5879422295838594,100.0,20000.0,84.0,0.3571428656578064,1.020484447479248,0.7738095238095238,116.0,7.0,0.0,1.0,32.0,0.0005318985786288,2.184897899627685,5
Brandimarte,Mk04.fjs,200,EnhancedBC_R32,0.8631070503838405,2.5387596293561274,0.10588540760509463,107.0561013606506,3576.770394598818,35.99999999999998,76.0,153.60854411125183,152.711215506,0.6089497962966561,100.0,20000.0,84.0,0.3571428656578064,1.020484447479248,0.7738095238095238,116.0,3.0,0.0,1.0,16.0,-0.0001379011664539,2.1767621636390686,5
Brandimarte,Mk04.fjs,200,EnhancedBC_R8,0.859412186392848,2.561905253829427,0.12954476747289365,106.55341735281446,3608.826211391495,35.99999999999997,74.0,171.8692605495453,170.60405411800002,0.8069662768393755,100.0,20000.0,84.0,0.3571428656578064,1.020484447479248,0.7738095238095238,116.0,14.0,0.0,1.0,60.0,-0.002959490691622,2.1259686827659605,5
Brandimarte,Mk04.fjs,200,UCBOnly,0.9275961431982205,2.6721935349073638,0.07960820927902026,103.98856873623323,3611.213528915731,35.99999999999997,75.0,150.66218209266663,149.72078889199997,0.0,100.0,20000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Brandimarte,Mk06.fjs,100,BasePaddedBC_R16,0.8071011510823612,2.515923029298248,0.06848179922651972,151.93630027993072,4144.674487801098,27.0,53.0,111.04995703697205,110.193770823,0.5047015557065606,100.0,10000.0,70.0,0.3142857253551483,0.3178600370883941,0.9142857142857144,30.0,1.0,0.0,1.0,8.0,-0.0003965225665265,2.2522222697734837,5
Brandimarte,Mk06.fjs,100,BasePaddedNoBC_R16,0.7815198306365106,2.456416290595806,0.07478178876907156,152.2003972772637,4164.440523864535,28.99999999999997,55.0,101.782644033432,101.09654516599996,0.0292244460433721,100.0,10000.0,70.0,0.0,0.0,0.9142857142857144,30.0,1.0,0.0,1.0,8.0,0.0001091536141757,2.299569219350815,5
Brandimarte,Mk06.fjs,100,EnhancedBC_R16,0.778581910984097,2.442749954648063,0.07866580651648328,152.84957850400724,4112.684800694023,28.99999999999997,54.0,100.78803825378418,100.266882484,0.4908666359260678,100.0,10000.0,70.0,0.3857142925262451,1.2259267568588257,0.8571428571428571,30.0,1.0,0.0,1.0,8.0,0.0035108153699964,2.230644136667252,5
Brandimarte,Mk06.fjs,100,EnhancedNoBC_R16,0.7815198306365106,2.467196501151416,0.07478178876907156,152.2003972772637,4150.938066093328,28.999999999999982,61.0,110.21013569831848,109.56239848499996,0.0290420660749077,100.0,10000.0,70.0,0.0,0.0,0.8571428571428571,30.0,1.0,0.0,1.0,8.0,-0.0002660468235262,2.2986870110034943,5
